genre_uri,genre_label
http://www.wikidata.org/entity/Q699,fairy tale
http://www.wikidata.org/entity/Q482,poetry
http://www.wikidata.org/entity/Q338,cosmology
http://www.wikidata.org/entity/Q4184,autobiography
http://www.wikidata.org/entity/Q8253,fiction
http://www.wikidata.org/entity/Q8261,novel
http://www.wikidata.org/entity/Q24925,science fiction
http://www.wikidata.org/entity/Q13136,reference work
http://www.wikidata.org/entity/Q35760,essay
http://www.wikidata.org/entity/Q37484,epic poem
http://www.wikidata.org/entity/Q132311,fantasy
http://www.wikidata.org/entity/Q25372,drama
http://www.wikidata.org/entity/Q36279,biography
http://www.wikidata.org/entity/Q80930,tragedy
http://www.wikidata.org/entity/Q24723,literary fairy tale
http://www.wikidata.org/entity/Q40831,comedy
http://www.wikidata.org/entity/Q112983,memoir
http://www.wikidata.org/entity/Q25379,play
http://www.wikidata.org/entity/Q191760,theatre of the absurd
http://www.wikidata.org/entity/Q192782,Gothic novel
http://www.wikidata.org/entity/Q128285,Norse mythology
http://www.wikidata.org/entity/Q83790,textbook
http://www.wikidata.org/entity/Q44342,legend
http://www.wikidata.org/entity/Q208628,hagiography
http://www.wikidata.org/entity/Q128758,satire
http://www.wikidata.org/entity/Q44563,picaresque novel
http://www.wikidata.org/entity/Q182015,thriller
http://www.wikidata.org/entity/Q186424,detective fiction
http://www.wikidata.org/entity/Q1196408,historical fiction
http://www.wikidata.org/entity/Q1562657,Lustspiel
http://www.wikidata.org/entity/Q2016518,philosophical novel
http://www.wikidata.org/entity/Q179461,religious text
http://www.wikidata.org/entity/Q179805,political philosophy
http://www.wikidata.org/entity/Q49084,short story
http://www.wikidata.org/entity/Q213051,nonfiction
http://www.wikidata.org/entity/Q185598,diary
http://www.wikidata.org/entity/Q59126,xiaoshuo
http://www.wikidata.org/entity/Q215304,creation myth
http://www.wikidata.org/entity/Q384515,treatise
http://www.wikidata.org/entity/Q197949,apocalyptic and post-apocalyptic fiction
http://www.wikidata.org/entity/Q149537,novella
http://www.wikidata.org/entity/Q170539,parody
http://www.wikidata.org/entity/Q36192,folklore
http://www.wikidata.org/entity/Q465821,epistolary novel
http://www.wikidata.org/entity/Q35874,humor
http://www.wikidata.org/entity/Q131539,children's literature
http://www.wikidata.org/entity/Q223945,Bildungsroman
http://www.wikidata.org/entity/Q224989,alternate history
http://www.wikidata.org/entity/Q20358335,political novel
http://www.wikidata.org/entity/Q20669641,Gothic fiction
http://www.wikidata.org/entity/Q20737414,philosophical fiction
http://www.wikidata.org/entity/Q215495,epistle
