author,author_name
http://www.wikidata.org/entity/Q1000005,Karel Matěj Čapek-Chod
http://www.wikidata.org/entity/Q100005,Tadeusz Borowski
http://www.wikidata.org/entity/Q1000588,Chiharu Matsuyama
http://www.wikidata.org/entity/Q1000729,José Maria Ferreira de Castro
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi
http://www.wikidata.org/entity/Q1002064,János Fliszár
http://www.wikidata.org/entity/Q1002127,Florina Ilis
http://www.wikidata.org/entity/Q100235402,Anna Erelle
http://www.wikidata.org/entity/Q100245,Johannes Gillhoff
http://www.wikidata.org/entity/Q1002759,Tibor Fonyódi
http://www.wikidata.org/entity/Q10034596,Kenji Kosugi
http://www.wikidata.org/entity/Q100443,Martin Schäuble
http://www.wikidata.org/entity/Q1006152,Luciano De Crescenzo
http://www.wikidata.org/entity/Q10065349,Kazuaki Takano
http://www.wikidata.org/entity/Q1006931,"Szabó, Judit Garamkövesdi"
http://www.wikidata.org/entity/Q1008018,Dahui Zonggao
http://www.wikidata.org/entity/Q100845,Johano Strasser
http://www.wikidata.org/entity/Q1008502,Josep Maria Benet i Jornet
http://www.wikidata.org/entity/Q100876,David Friedrich Weinland
http://www.wikidata.org/entity/Q100877,Siegfried Obermeier
http://www.wikidata.org/entity/Q10087736,Yao Xie
http://www.wikidata.org/entity/Q100910,Caspar Merian
http://www.wikidata.org/entity/Q1009263,Genshin
http://www.wikidata.org/entity/Q100948,Rachel Carson
http://www.wikidata.org/entity/Q1009504,Bunjūrō Nakayama
http://www.wikidata.org/entity/Q101022,Gaby Hauptmann
http://www.wikidata.org/entity/Q101054,Baháʼu'lláh
http://www.wikidata.org/entity/Q10109608,Ichi Orihara
http://www.wikidata.org/entity/Q10118904,Meng Yuanlao
http://www.wikidata.org/entity/Q10124003,Sun Guangxian
http://www.wikidata.org/entity/Q101247567,authors of carmina Priapea
http://www.wikidata.org/entity/Q10125444,Sun Mian
http://www.wikidata.org/entity/Q10127297,Sun Ti
http://www.wikidata.org/entity/Q1012900,Wanda Gág
http://www.wikidata.org/entity/Q10133,Suetonius
http://www.wikidata.org/entity/Q10134867,Taku Ashibe
http://www.wikidata.org/entity/Q101374,Lothar Machtan
http://www.wikidata.org/entity/Q101437,Pius II
http://www.wikidata.org/entity/Q1014899,Yongming Yanshou
http://www.wikidata.org/entity/Q10153387,Tokurō Nukui
http://www.wikidata.org/entity/Q101638,Mary Wollstonecraft
http://www.wikidata.org/entity/Q1017028,Zhou Lianggong
http://www.wikidata.org/entity/Q1017968,Yu Zhining
http://www.wikidata.org/entity/Q1017980,Wu Yuanheng
http://www.wikidata.org/entity/Q1018002,Cen Wenben
http://www.wikidata.org/entity/Q1018259,Buton Rinchen Drub
http://www.wikidata.org/entity/Q101871,Dymphna Cusack
http://www.wikidata.org/entity/Q101876,Hans Reimann
http://www.wikidata.org/entity/Q10188120,Song Zihou
http://www.wikidata.org/entity/Q101911,Wilhelm Heyd
http://www.wikidata.org/entity/Q1019186,Txillardegi
http://www.wikidata.org/entity/Q101926,Christian Reinhold Köstlin
http://www.wikidata.org/entity/Q101947384,Jacobine Waaler
http://www.wikidata.org/entity/Q1020197,Böðvar Guðmundsson
http://www.wikidata.org/entity/Q102071,Tove Jansson
http://www.wikidata.org/entity/Q1021828,Wei Yingwu
http://www.wikidata.org/entity/Q1021857,Ezra Vogel
http://www.wikidata.org/entity/Q102289,Buckminster Fuller
http://www.wikidata.org/entity/Q102306,Jutta Richter
http://www.wikidata.org/entity/Q102323,Snorri Sturluson
http://www.wikidata.org/entity/Q102338310,author of Bellum Africum
http://www.wikidata.org/entity/Q102338312,author of Bellum Alexandrinum
http://www.wikidata.org/entity/Q102338315,author of Bellum Hispaniense
http://www.wikidata.org/entity/Q102338318,authors of Appendix Vergiliana
http://www.wikidata.org/entity/Q102338436,Anonymus Valesianus
http://www.wikidata.org/entity/Q102338704,author of Pervigilium Veneris
