genre,genre_name
http://www.wikidata.org/entity/Q106581242,booklet
http://www.wikidata.org/entity/Q1417744,revenge play
http://www.wikidata.org/entity/Q3928506,Tales
http://www.wikidata.org/entity/Q43290,Talmud
http://www.wikidata.org/entity/Q63346325,companion book
http://www.wikidata.org/entity/Q70600066,Song Ci
http://www.wikidata.org/entity/Q70686944,Ming Ci
http://www.wikidata.org/entity/Q70863928,Qing Ci
http://www.wikidata.org/entity/Q7267789,Qing poetry
http://www.wikidata.org/entity/Q7362392,Romance
