URI,author_name
http://www.wikidata.org/entity/Q1000005,Karel Matěj Čapek-Chod
http://www.wikidata.org/entity/Q1000379,Ferdinand Oyono
http://www.wikidata.org/entity/Q1000588,Chiharu Matsuyama
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi
http://www.wikidata.org/entity/Q100145330,Sue Anderson
http://www.wikidata.org/entity/Q100145747,Malcom Ferdinand
http://www.wikidata.org/entity/Q100151709,Alex Nogués
http://www.wikidata.org/entity/Q100230452,Don Wilson Glenn
http://www.wikidata.org/entity/Q100234551,Benjamin J. Todd
http://www.wikidata.org/entity/Q100234766,Jean-Baptiste Fressoz
http://www.wikidata.org/entity/Q100243974,Jordy Rosenberg
http://www.wikidata.org/entity/Q100244216,Nathan Ripley
http://www.wikidata.org/entity/Q100245,Johannes Gillhoff
http://www.wikidata.org/entity/Q100245440,Katie Williams
http://www.wikidata.org/entity/Q100250485,Sarah Smarsh
http://www.wikidata.org/entity/Q100263695,Terri Wiltshire
http://www.wikidata.org/entity/Q100265207,Joanne Ramos
http://www.wikidata.org/entity/Q100272562,Matthew Eck
http://www.wikidata.org/entity/Q100272688,Lina Rather
http://www.wikidata.org/entity/Q100276374,Tomasz Jedrowski
http://www.wikidata.org/entity/Q100281476,Adrienne Brodeur
http://www.wikidata.org/entity/Q100284,Paul Göhre
http://www.wikidata.org/entity/Q100316126,Augustine Sedgewick
http://www.wikidata.org/entity/Q100319065,Manoj Shah
http://www.wikidata.org/entity/Q100319998,Ann Napolitano
http://www.wikidata.org/entity/Q100324447,F. Bruce Lamb
http://www.wikidata.org/entity/Q100329021,Hernán Díaz
http://www.wikidata.org/entity/Q100334242,John David Smith
http://www.wikidata.org/entity/Q100336145,Charles Fountain
http://www.wikidata.org/entity/Q100337690,Eirini Kotsovili
http://www.wikidata.org/entity/Q100338277,Nikolaos Papadogiannis
http://www.wikidata.org/entity/Q10034596,Kenji Kosugi
http://www.wikidata.org/entity/Q100347454,Adam Kożuchowski
http://www.wikidata.org/entity/Q100348099,Dane Keith Kennedy
http://www.wikidata.org/entity/Q100348782,Sue Wheatcroft
http://www.wikidata.org/entity/Q100353809,Howard LeRoy Malchow
http://www.wikidata.org/entity/Q100354669,Róger Rumrrill
http://www.wikidata.org/entity/Q100357129,Caroline Campbell
http://www.wikidata.org/entity/Q100358193,Jo Briggs
http://www.wikidata.org/entity/Q100360295,Ethan Katz
http://www.wikidata.org/entity/Q100361091,Lisa Pine
http://www.wikidata.org/entity/Q100361820,Alessio Patalano
http://www.wikidata.org/entity/Q100372942,Richard M. Ward
http://www.wikidata.org/entity/Q100376355,Abdelmajid Sebbata
http://www.wikidata.org/entity/Q100376417,Hicham Nostik
http://www.wikidata.org/entity/Q100397048,Mark B. Brown
http://www.wikidata.org/entity/Q100438951,Fernando A. Flores
http://www.wikidata.org/entity/Q100450331,Martin Bellemare
http://www.wikidata.org/entity/Q100483606,Jordan Shapiro
http://www.wikidata.org/entity/Q100510437,Linda Geddes
http://www.wikidata.org/entity/Q100518259,Siobhan Carroll
http://www.wikidata.org/entity/Q100537,Mareike Krügel
http://www.wikidata.org/entity/Q100548896,Alvaro Zinos-Amaro
http://www.wikidata.org/entity/Q100567073,Bonnie Rochman
http://www.wikidata.org/entity/Q100572532,Elle Nash
http://www.wikidata.org/entity/Q100577318,Avis Lang
http://www.wikidata.org/entity/Q100583,Friedrich Eberhard Rambach
http://www.wikidata.org/entity/Q100588068,Joe Pitkin
http://www.wikidata.org/entity/Q100598285,Kim Michele Richardson
http://www.wikidata.org/entity/Q100599911,Todd Grimson
http://www.wikidata.org/entity/Q100599919,Frederick Reuss
http://www.wikidata.org/entity/Q100599922,Michael Downing
http://www.wikidata.org/entity/Q100599930,Cathryn Alpert
http://www.wikidata.org/entity/Q100599933,Lynn Lauber
http://www.wikidata.org/entity/Q100599948,Martha Bergland
http://www.wikidata.org/entity/Q100599951,Nettie Jones
http://www.wikidata.org/entity/Q100599954,Jim Heynen
http://www.wikidata.org/entity/Q100599955,Gioia Timpanelli
http://www.wikidata.org/entity/Q100599971,Gladys Swan
http://www.wikidata.org/entity/Q100599975,Kelvin Christopher James
http://www.wikidata.org/entity/Q100599980,Patricia Volk
http://www.wikidata.org/entity/Q100600015,Jay Gummerman
http://www.wikidata.org/entity/Q100600018,Cynthia Shearer
http://www.wikidata.org/entity/Q100600024,Karin Cook
http://www.wikidata.org/entity/Q100600027,Susan Jedren
http://www.wikidata.org/entity/Q100600030,Lowry Pei
http://www.wikidata.org/entity/Q100600034,Stephen Pett
http://www.wikidata.org/entity/Q100600654,Chandrakant Shah
http://www.wikidata.org/entity/Q100600665,Mihir Bhuta
http://www.wikidata.org/entity/Q100606422,Rebecca Campbell
http://www.wikidata.org/entity/Q100662990,Jenny Bergenmar
http://www.wikidata.org/entity/Q100678508,Justine van der Leun
http://www.wikidata.org/entity/Q1006918,G. C. Edmondson
http://www.wikidata.org/entity/Q100699005,Eliot Borenstein
http://www.wikidata.org/entity/Q100708410,Peter Gorman
http://www.wikidata.org/entity/Q100712241,Andy Dudak
http://www.wikidata.org/entity/Q100728995,Ramalingam Shanmugam
http://www.wikidata.org/entity/Q100742564,Alexis Coe
http://www.wikidata.org/entity/Q100752795,Elena I. Campbell
http://www.wikidata.org/entity/Q100780233,Vitia Hessel
http://www.wikidata.org/entity/Q100791882,Gadam Gopala Swami
http://www.wikidata.org/entity/Q1008018,Dahui Zonggao
http://www.wikidata.org/entity/Q100805028,Kyra Scheurer
http://www.wikidata.org/entity/Q100812,Theodor Steiner
http://www.wikidata.org/entity/Q100826368,Gerald Brandt
http://www.wikidata.org/entity/Q100845,Johano Strasser
http://www.wikidata.org/entity/Q1008502,Josep Maria Benet i Jornet
http://www.wikidata.org/entity/Q100874113,Lynn Steger Strong
http://www.wikidata.org/entity/Q100876,David Friedrich Weinland
