s,hotel_name,country_name
100877359h,Müritz Hotel,Germany
1011881h,Burg Großfurra,Germany
1015042h,Burghaus Burgsahr,Germany
10332618h,Mosteiro de Flor da Rosa,Portugal
103331335h,"32 Bond Street, Ross",Australia
10343928h,Palácio Belmonte,Portugal
10344021h,Palácio de Estói,Portugal
10352192h,Convento das Chagas (Vila Viçosa),Portugal
10352195h,Convento dos Lóios,Portugal
10352198h,Pousada de Condeixa-a-Nova,Portugal
10352202h,Capela e Hospital da Santa Casa da Misericórdia de Ourém,Portugal
10352206h,Pousada de Viseu,Portugal
10352207h,Antigo Convento do Desagravo do Santíssimo Sacramento,Portugal
10352211h,Convento de Nossa Senhora da Boa Esperança,Portugal
10352218h,Solar da Rede,Portugal
10352219h,Convento dos Lóios,Portugal
104083353h,Commercial Hotel,Australia
104234251h,British Hotel,Australia
104830558h,Welsbach Building,United States of America
1049027h,Jumeirah Emirates Towers Hotel,United Arab Emirates
1049209h,The Venetian,United States of America
1051604h,Four Queens,United States of America
10524043h,Hilton Nairobi,Kenya
10524047h,Hilton Stockholm Slussen,Sweden
10526554h,Hotel Knaust,Sweden
10526572h,Hotel Billingen,Sweden
105554563h,Heliopolis Towers Hotel,Egypt
105621651h,Oubangui Hotel,Central African Republic
106090892h,"Overtoom 33, Amsterdam",Netherlands
106192327h,Can Ferrandell,Spain
1063195h,Torre de Madrid,Spain
106393048h,Hampton by Hilton Bursa,Turkey
1064873h,Excalibur Hotel and Casino,United States of America
106996884h,Na můstku 10,Czech Republic
107121457h,Brinker Collegiate Institute,United States of America
107168152h,Manor House Hotel,United States of America
107607598h,Hotel Dudley,United States of America
108294146h,"Flour Mill at 129 Port avenue, Valencia",Spain
108309815h,Can Cera,Spain
108516880h,Villa Balbi,Italy
108729880h,Kasteel Solhof,Belgium
108865646h,Lamar Hotel,United States of America
108865673h,Union Hotel,United States of America
1092961h,Circus Circus Las Vegas,United States of America
109451447h,Panquinkazerne,Belgium
1096141h,Act Tower,Japan
110010967h,"SAii Lagoon Maldives, Curio Collection by Hilton",Maldives
110041692h,Central téléphonique Ségur,France
110147122h,Hilton Garden Inn London Heathrow Terminals 2 and 3,United Kingdom
110251555h,Ostrovní 15,Czech Republic
110407965h,Tours Odyssey,France
110660109h,Silk Road Hotel (Yazd),Iran
110660372h,Dalan-e Behesht Hotel,Iran
110664670h,Khesht Abad Hotel,Iran
1106716h,"Kempinski Hotel Corvinus, Budapest",Hungary
110681137h,Zoerselhof,Belgium
110735133h,Can Balaguer,Spain
1107391h,Sands Hotel and Casino,United States of America
110831132h,Casa Gabino Bobo,Spain
111041461h,DoubleTree by Hilton Hannover Schweizerhof,Germany
111243216h,Hilton Singapore Orchard,Singapore
111445383h,Chestnut Residence and Conference Centre,Canada
1116194h,The Leland Hotel,United States of America
112111547h,Lepopirtti,Finland
112147576h,Torenhuis,Belgium
112168936h,De Gouden Leeuw,Belgium
1127749h,Hotel Kämp,Finland
113051152h,Putnam House,United States of America
113163876h,St. James Hotel,United States of America
113164074h,Windsor Hotel,United States of America
113164146h,Palmetto House,United States of America
113164237h,Clarendon Hotel,United States of America
113171856h,Union House,United States of America
11330330h,Hilton Nagoya,Indonesia
11330330h,Hilton Nagoya,Japan
11330332h,Hilton Odawara Resort & Spa,Japan
11330335h,Hilton Tokyo Bay,Japan
113564549h,Hôtel La Pérouse,France
