s,country_id,name
100877359h,http://example.com/country/id/183,Müritz Hotel
1011881h,http://example.com/country/id/183,Burg Großfurra
1015042h,http://example.com/country/id/183,Burghaus Burgsahr
10332618h,http://example.com/country/id/45,Mosteiro de Flor da Rosa
103331335h,http://example.com/country/id/408,"32 Bond Street, Ross"
10343928h,http://example.com/country/id/45,Palácio Belmonte
10344021h,http://example.com/country/id/45,Palácio de Estói
10352192h,http://example.com/country/id/45,Convento das Chagas (Vila Viçosa)
10352195h,http://example.com/country/id/45,Convento dos Lóios
10352198h,http://example.com/country/id/45,Pousada de Condeixa-a-Nova
10352202h,http://example.com/country/id/45,Capela e Hospital da Santa Casa da Misericórdia de Ourém
10352206h,http://example.com/country/id/45,Pousada de Viseu
10352207h,http://example.com/country/id/45,Antigo Convento do Desagravo do Santíssimo Sacramento
10352211h,http://example.com/country/id/45,Convento de Nossa Senhora da Boa Esperança
10352218h,http://example.com/country/id/45,Solar da Rede
10352219h,http://example.com/country/id/45,Convento dos Lóios
104083353h,http://example.com/country/id/408,Commercial Hotel
104234251h,http://example.com/country/id/408,British Hotel
104830558h,http://example.com/country/id/30,Welsbach Building
1049027h,http://example.com/country/id/878,Jumeirah Emirates Towers Hotel
1049209h,http://example.com/country/id/30,The Venetian
1051604h,http://example.com/country/id/30,Four Queens
10524043h,http://example.com/country/id/114,Hilton Nairobi
10524047h,http://example.com/country/id/34,Hilton Stockholm Slussen
10526554h,http://example.com/country/id/34,Hotel Knaust
10526572h,http://example.com/country/id/34,Hotel Billingen
105554563h,http://example.com/country/id/79,Heliopolis Towers Hotel
105621651h,http://example.com/country/id/929,Oubangui Hotel
106090892h,http://example.com/country/id/55,"Overtoom 33, Amsterdam"
106192327h,http://example.com/country/id/29,Can Ferrandell
1063195h,http://example.com/country/id/29,Torre de Madrid
106393048h,http://example.com/country/id/43,Hampton by Hilton Bursa
1064873h,http://example.com/country/id/30,Excalibur Hotel and Casino
106996884h,http://example.com/country/id/213,Na můstku 10
107121457h,http://example.com/country/id/30,Brinker Collegiate Institute
107168152h,http://example.com/country/id/30,Manor House Hotel
107607598h,http://example.com/country/id/30,Hotel Dudley
108294146h,http://example.com/country/id/29,"Flour Mill at 129 Port avenue, Valencia"
108309815h,http://example.com/country/id/29,Can Cera
108516880h,http://example.com/country/id/38,Villa Balbi
108729880h,http://example.com/country/id/31,Kasteel Solhof
108865646h,http://example.com/country/id/30,Lamar Hotel
108865673h,http://example.com/country/id/30,Union Hotel
1092961h,http://example.com/country/id/30,Circus Circus Las Vegas
109451447h,http://example.com/country/id/31,Panquinkazerne
1096141h,http://example.com/country/id/17,Act Tower
110010967h,http://example.com/country/id/826,"SAii Lagoon Maldives, Curio Collection by Hilton"
110041692h,http://example.com/country/id/142,Central téléphonique Ségur
110147122h,http://example.com/country/id/145,Hilton Garden Inn London Heathrow Terminals 2 and 3
110251555h,http://example.com/country/id/213,Ostrovní 15
110407965h,http://example.com/country/id/142,Tours Odyssey
