name,s
1 Snow Hill Plaza,4596016h
1 Tower Knowe,17834531h
"100 Queen's Gate Hotel London, Curio Collection by Hilton",23646439h
107 Piccadilly,14954702h
11 Market End,17557267h
"12 and 13, Warwick Road",26684094h
13 Market End,26463120h
"14 and 15, Warwick Road",26483035h
15 Market End,26685058h
15/17 Mostowa Street in Toruń,28675745h
18 Gramercy Park,21402642h
2 Tower Dykeside,17835167h
"2, 3 and 4, Regency Square",17549646h
"25, place Dauphine",19348190h
3 V Tourist Court,38251391h
"32 Bond Street, Ross",103331335h
"333 Battery Street, San Francisco,",14683065h
5 and 7 High Street and Falcon Hotel Annexe,17534979h
520 West 41st Street,2631856h
ANA Crowne Plaza Akita,76021053h
APA Hotel & Resort Tokyo Bay Makuhari,3281025h
Abbasi Hotel,306000h
Abeno Harukas,16318627h
Abraj Al Bait,189476h
Act Tower,1096141h
Agronomitalo,17619057h
"AlRayyan Hotel Doha, Curio Collection by Hilton",78054939h
Alafchian House,5901285h
Albertinkatu 34,98407275h
Albertinkatu 34 - Lönnrotinkatu 26,98407274h
Aliante Casino and Hotel,4725573h
Allerton Hotel,2837946h
Ambassador Hotel,19864040h
Ameri House,9294281h
Aminabad Caravanserai,5907540h
Ancienne église Saint-Nicolas,60389409h
Annankatu 1,98407311h
Antigo Convento do Desagravo do Santíssimo Sacramento,10352207h
Antiguo Hotel Miramar,6058109h
Aquarium et Musée de la Mer de Dinard,16528268h
Arena Center,76355045h
Aria Resort and Casino,654279h
Arizona Charlie's Boulder,4791273h
Arlington Hotel,17512898h
Arlington Hotel,4792351h
Arminius Hotel,4793581h
Aspire Tower,737602h
Athenee Palace Hilton Bucharest,979477h
Ausonia Palace Hotel,27962079h
B&O Railroad Headquarters Building,16949846h
Baglioni Hotel,4841991h
Baha Mar,4842213h
Balboa Inn,804686h
Balch Hotel,804702h
Bally's Las Vegas Hotel & Casino,805467h
Bangor House,24693404h
Banitaba House,5918301h
Barton Seagrave Hall,17544934h
Bay Mills Resort & Casino,22997753h
Beaumont Hotel,55605106h
Bellagio Hotel & Casino,25007h
Berry Head House,15978898h
Berwyn Apartments,85845504h
Binion's Horseshoe,654906h
Bluebeard's Castle,20830632h
Boardwalk Hotel and Casino,167870h
Bonneville Hotel,38251968h
Booth Hotel,48843972h
Boulder Station,4949600h
Bowen River Hotel,23640921h
Brampton Grange,5595660h
Brandt Hotel,47004857h
Breakers Hotel,4272804h
Breite Straße 19,49593283h
Brinker Collegiate Institute,107121457h
British Hotel,104234251h
Broadway Hotel,65042009h
Brooks Hotel,43371249h
Bryan Building,4979998h
Bryson Apartment Hotel,995338h
Bump Block-Bellevue House-Hawthorne Hotel,85749503h
Burg Großfurra,1011881h
Burghaus Burgsahr,1015042h
Burj Khalifa,12495h
Burlington Hotel,4999251h
CAAC Tower,23907594h
CTF Finance Centre,168575h
Cadillac Hotel,2928530h
Caesars Palace,569978h
California Hotel and Casino,869378h
Cambridge Hotel,24241038h
Camlin Hotel,2935180h
Can Balaguer,110735133h
Can Cera,108309815h
Can Ferrandell,106192327h
Canfranc-Estación,13049756h
Canopy by Hilton Reykjavik City Centre,56598554h
Canopy by Hilton Zagreb - City Centre,60642328h
Capela e Hospital da Santa Casa da Misericórdia de Ourém,10352202h
"Casa Alberola Alicante, Curio Collection by Hilton",14753688h
Casa Gabino Bobo,110831132h
Casa Pere Villoch,81100400h
Castaways Hotel and Casino,5049621h
"Castle Hotel, Ruthin",17183802h
Castle mill in Toruń,28675210h
Castle of Alcácer do Sal,5049734h
Castle of Alvito,4993716h
Castle of Estremoz,66813690h
Castle of Vila Nova de Cerveira,5049843h
Castle of Óbidos,2579998h
Central House Hotel,5061223h
Central téléphonique Ségur,110041692h
Cerulean Tower,5065298h
Chartreuse du Reposoir,2961297h
Chestnut Residence and Conference Centre,111445383h
Château d'Artigny,2523683h
Cimarron Hotel,5120095h
Circus Circus Las Vegas,1092961h
Citadel of Cascais,17390148h
Clarendon Hotel,113164237h
Claridge's,2748565h
Clarke Hotel,54873914h
Clayton Crown Hotel,56084920h
Clayton Hotel Belfast,56085075h
Clayton Hotel Birmingham,56085053h
Clayton Hotel Cardiff,56150916h
Clayton Hotel Charlemont,56651595h
Clayton Hotel Chiswick,56085005h
Clayton Hotel Cork City,59491160h
Clayton Hotel Galway,59492250h
Clayton Hotel Leeds,56085020h
Clayton Hotel Liffey Valley,59493677h
Clayton Hotel Silver Springs,59492195h
Clayton Hotel Sligo,59420694h
Clayton Whites Hotel,59491401h
Clayton hotel Leopardstown,59492478h
CloudNo7,19962146h
Commercial Hotel,104083353h
Commercial Hotel,25247913h
Companhia de Moagens Harmonia,54474974h
Conrad Algarve,64845961h
Conrad Bali,29981099h
Conrad Bangkok,61897167h
Conrad Beijing,30097821h
Conrad Bengaluru,99454646h
Conrad Bora Bora Nui,47401774h
Conrad Cairo,62068054h
Conrad Dubai,550379h
Conrad Dublin,66382805h
Conrad Hong Kong,15923583h
Conrad Istanbul Bosphorus,26734729h
Conrad Koh Samui,67765140h
Conrad Makkah,30090585h
Conrad Tokyo,26237391h
Conrad Xiamen,57739907h
Convent of the Capuchinos,55346142h
Convento Dominico de Nuestra Señora de la Consolación,5785660h
Convento das Chagas (Vila Viçosa),10352192h
Convento das Eremitas de Santo Agostinho,9871323h
Convento de Nossa Senhora da Boa Esperança,10352211h
Convento de Santa Maria do Bouro,1237113h
Convento do Salvador,53806946h
Convento dos Lóios,10352195h
Convento dos Lóios,10352219h
Corona Hotel in Baia Sprie,43031921h
Cosmopolitan of Las Vegas,1436845h
Coworth House,5179785h
Crosby Lodge,26609450h
Crown Sydney,16890775h
Crowne Plaza Times Square,5189543h
Culver Hotel,3699364h
Dagebüll lighthouse,1682221h
Dalan-e Behesht Hotel,110660372h
Dalmatia Tower,54427554h
"Danubius Hotel Hungaria City Center, Budapest",65218555h
Davenport Hotel,5230243h
De Gamlas Hem,26723836h
De Gouden Leeuw,112168936h
Delano Las Vegas,2297323h
Delta Toronto Hotel,19817552h
Desert Inn,1200583h
"Dominican monastery in Malá Strana, Prague",24708167h
DoubleTree Resort by Hilton Penang,54652699h
DoubleTree by Hilton Bangkok Ploenchit,81495406h
DoubleTree by Hilton Cambridge Belfry,64152343h
DoubleTree by Hilton Carcassonne,65769542h
DoubleTree by Hilton Dubai - Business Bay,66437370h
DoubleTree by Hilton Edinburgh - Queensferry Crossing,75721557h
DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort,77416106h
DoubleTree by Hilton Gurugram Baani Square,27456363h
DoubleTree by Hilton Hannover Schweizerhof,111041461h
DoubleTree by Hilton Hotel & Spa Liverpool,56071855h
DoubleTree by Hilton Hotel Aberdeen Treetops,28777988h
DoubleTree by Hilton Hotel Aqaba,74812978h
DoubleTree by Hilton Hotel Avanos - Cappadocia,30242708h
DoubleTree by Hilton Hotel Bristol City Centre,64363310h
DoubleTree by Hilton Hotel Bristol North,23685988h
DoubleTree by Hilton Hotel Cairns,27826630h
DoubleTree by Hilton Hotel Cluj - City Plaza,33101471h
DoubleTree by Hilton Hotel Coventry,28609672h
DoubleTree by Hilton Hotel Darwin,29000794h
DoubleTree by Hilton Hotel Dubai - Jumeirah Beach,50308536h
DoubleTree by Hilton Hotel Edinburgh Airport,29948012h
DoubleTree by Hilton Hotel Edinburgh City Centre,45316350h
DoubleTree by Hilton Hotel Girona,58229015h
DoubleTree by Hilton Hotel Gurgaon - New Delhi NCR,66439260h
DoubleTree by Hilton Hotel Istanbul - Moda,33035435h
DoubleTree by Hilton Hotel Istanbul - Old Town,30014678h
DoubleTree by Hilton Hotel Jakarta - Diponegoro,74665770h
DoubleTree by Hilton Hotel Kuala Lumpur,49393251h
