s,museum_name,country_name
100457281m,Lossiemouth Fisheries and Community Museum,United Kingdom
101004116m,Andrew Carnegie Birthplace Museum,United Kingdom
1026013m,Caithness Broch Centre,United Kingdom
102679684m,Dewsbury Bus Museum,United Kingdom
102928529m,Acton Scott Working Farm Museum,United Kingdom
103038475m,Aldeburgh Museum,United Kingdom
103054216m,Alfred Corry Lifeboat Museum,United Kingdom
1030648m,Campbeltown Library and Museum,United Kingdom
103160541m,Allen Gallery,United Kingdom
103308727m,Alyth Museum,United Kingdom
103310055m,Amelia Earhart Cottage Museum,United Kingdom
103618349m,306th Bombardment Group Museum,United Kingdom
103621847m,1940s Swansea Bay Museum,United Kingdom
103802422m,389th Bomb Group Memorial Exhibition,United Kingdom
103807293m,390th Bombardment Group Memorial Air Museum,United Kingdom
103810512m,Museum of the British Resistance Organisation,United Kingdom
103811640m,9th/12th Royal Lancers Museum,United Kingdom
103813473m,A World In Miniature Museum,United Kingdom
103813610m,The Crypt Museum,United Kingdom
103861978m,Hugh Miller Museum & Birthplace Cottage,United Kingdom
104853511m,Liverpool Beatles Museum,United Kingdom
104854327m,East End Women's Museum,United Kingdom
104869793m,The Rifles Museum,United Kingdom
104902896m,Museum of Homelessness,United Kingdom
1050293m,Catalyst Science Discovery Centre,United Kingdom
105120194m,Bungay Museum,United Kingdom
10534945m,India Museum,United Kingdom
105555386m,Kent Museum of the Moving Image,United Kingdom
106578123m,Antique Breadboard Museum,United Kingdom
107294638m,The Devil’s Porridge Museum,United Kingdom
1073042m,Chiltern Open Air Museum,United Kingdom
107657705m,World of Glass,United Kingdom
107992494m,The Old School,United Kingdom
108042270m,Tangwick Haa museum,United Kingdom
108142914m,Valhalla Museum,United Kingdom
108381199m,Butcher Row House Museum,United Kingdom
108474261m,"Museum of Printing, Birkenhead",United Kingdom
108487666m,Exmouth Museum,United Kingdom
108670178m,Castle House Museum,United Kingdom
108701542m,Museum of Design in Plastics,United Kingdom
108806942m,Unst Heritage Centre,United Kingdom
108806949m,Unst Boat Haven,United Kingdom
108882161m,Sick To Death,United Kingdom
108882994m,W Hourston Blacksmiths Museum,United Kingdom
109252163m,Garioch Heritage Centre,United Kingdom
109719126m,Panacea Museum,United Kingdom
109996849m,Central Saint Martins Museum & Study Collection,United Kingdom
110521938m,Wymondham Heritage Museum,United Kingdom
110521944m,Margate Old Town Local History Museum,United Kingdom
110687141m,Queer Britain,United Kingdom
111632655m,"Danum Gallery, Library and Museum",United Kingdom
111817853m,Lancaster Maritime Museum,United Kingdom
111895849m,Carrickfergus Museum,United Kingdom
111975948m,Banchory Museum,United Kingdom
111975957m,Banff Museum,United Kingdom
111976011m,Fraserburgh Heritage Centre,United Kingdom
111976023m,Fordyce Joiner's Workshop,United Kingdom
112208934m,Neath Museum,United Kingdom
112613358m,World of Wedgwood,United Kingdom
112730065m,Saltaire Collection,United Kingdom
112977716m,Beside The Seaside Museum,United Kingdom
112977806m,Chimney Pot Museum,United Kingdom
112977808m,Horsforth Museum,United Kingdom
112977975m,Museum of Whitby Jet,United Kingdom
113000163m,Town House Museum of Lynn Life,United Kingdom
113000168m,Eling Experience,United Kingdom
113001392m,Bamburgh Castle Aviation Artefacts Museum,United Kingdom
113015770m,Glenfinnan Station Museum,United Kingdom
113032391m,The Storrington And District Museum,United Kingdom
113043989m,Frenchay Village Museum,United Kingdom
113046179m,50 and 61 Squadron Museum,United Kingdom
113056433m,Abergynolwyn Village Museum,United Kingdom
113064640m,Aberystwyth Yesterday,United Kingdom
113065388m,Abriachan Museum,United Kingdom
113084538m,Adamston Agricultural Museum,United Kingdom
113085878m,Polperro Model Village & Land of Legend,United Kingdom
113086315m,Emsworth Museum,United Kingdom
113091209m,Zetland Lifeboat Museum and Redcar Heritage Centre,United Kingdom
113095539m,Mid-Antrim Museum,United Kingdom
113095856m,Bear Gardens Museum,United Kingdom
113096056m,Spelthorne Museum,United Kingdom
113096351m,Gold Hill Museum,United Kingdom
113096625m,Lymm Heritage Centre,United Kingdom
113097522m,Findhorn Heritage Centre,United Kingdom
113097587m,Kawasaki Museum,United Kingdom
113099573m,Maryport Maritime Museum,United Kingdom
113099833m,Stratford Motor Museum,United Kingdom
113099921m,Montacute TV Radio Toy Museum,United Kingdom
113099927m,Blacked-out Britain War Museum,United Kingdom
113100052m,Borders Textile Towerhouse,United Kingdom
113110704m,New Farm Aviation Heritage Museum,United Kingdom
113110712m,Benburb Priory Library and Museum,United Kingdom
113110739m,Rose Street Cottage of Curiosities,United Kingdom
113119123m,Wollaston Museum,United Kingdom
113119473m,Muthill Village Museum,United Kingdom
113119549m,The Staithes Story,United Kingdom
113119625m,Ballance House,United Kingdom
113125408m,Coldstream Museum,United Kingdom
113125805m,London General Cab Company Museum,United Kingdom
113125999m,Tewkesbury Heritage & Visitor Centre,United Kingdom
113126021m,The Printing House Museum,United Kingdom
113137456m,Ventnor Heritage Museum,United Kingdom
113137580m,Otford Heritage Centre,United Kingdom
113170802m,National Trust of Guernsey Folk and Costume Museum,United Kingdom
113206434m,Marton Museum of Country Bygones,United Kingdom
113206529m,Wygstons House Museum of Costume,United Kingdom
113206897m,Harveys Sherry Museum,United Kingdom
113207227m,Whitchurch Heritage Centre,United Kingdom
113207317m,The Time Machine Museum of Science Fiction,United Kingdom
113207895m,Fred Dibnah Heritage Centre,United Kingdom
113207941m,Whitby Jet Heritage Centre,United Kingdom
113207964m,RNCM Collection of Historic Musical Instruments,United Kingdom
113261202m,Museum of The Home,United Kingdom
113261646m,Postal Museum,United Kingdom
113261802m,Fans Museum,United Kingdom
113262389m,Newhaven Museum,United Kingdom
113262647m,Totnes Motor Museum,United Kingdom
113263582m,Wirral Museum,United Kingdom
113263676m,Carnegie Inverurie Museum,United Kingdom
113263686m,St Annes Chapel and Old Grammar School Museum,United Kingdom
113263701m,Greenwich Borough Museum,United Kingdom
113263756m,Military Museum Scotland,United Kingdom
113263766m,Richmond Castle Museum,United Kingdom
113280054m,Macgillivray Centre,United Kingdom
113280070m,Ty Ebbw Fach Heritage Centre,United Kingdom
113292368m,Lowestoft Museum,United Kingdom
113296096m,Orford Museum,United Kingdom
113296113m,Lanman Museum,United Kingdom
113296169m,Ramsgate Museum,United Kingdom
113296183m,Ramsgate Motor Museum,United Kingdom
113296230m,Ramsgate Tunnels,United Kingdom
113296519m,Kings Own Yorkshire Light Infantry Museum,United Kingdom
113297025m,Brander Museum,United Kingdom
113308069m,Yesterdays World,United Kingdom
113308077m,Royal Naval Patrol Service Association Museum,United Kingdom
113308191m,Maritime Museum for East Anglia,United Kingdom
113308220m,Louis Tussauds House Of Wax Museum,United Kingdom
113308731m,Martham Countryside Collection,United Kingdom
113308901m,William Clowes Printing Museum,United Kingdom
113308981m,The Red House,United Kingdom
113309405m,Sotterley Agricultural Museum,United Kingdom
113309437m,Wind Energy Museum,United Kingdom
113309473m,Beccles and District Museum,United Kingdom
113309519m,Sutton Windmill & Broads Museum,United Kingdom
113309657m,Middlesbrough Art Gallery,United Kingdom
