s,name,cname
100287662b,Aberfeldy Footbridge,United Kingdom
100309951b,Rugby Flyover,United Kingdom
100313757b,Cilcewydd Railway Bridge,United Kingdom
100320723b,Frodsham Bridge 5,United Kingdom
100320739b,Crewgreen Bridge,United Kingdom
100457281m,Lossiemouth Fisheries and Community Museum,United Kingdom
100716513b,Worcester Railway Bridge,United Kingdom
101004116m,Andrew Carnegie Birthplace Museum,United Kingdom
1024926b,Murrayfield Stadium,United Kingdom
10257b,Channel Tunnel,United Kingdom
1026013m,Caithness Broch Centre,United Kingdom
102679684m,Dewsbury Bus Museum,United Kingdom
1028041b,Great Wheel,United Kingdom
1028430b,Camden Town tube station,United Kingdom
102928529m,Acton Scott Working Farm Museum,United Kingdom
103038475m,Aldeburgh Museum,United Kingdom
103054216m,Alfred Corry Lifeboat Museum,United Kingdom
1030648m,Campbeltown Library and Museum,United Kingdom
103160541m,Allen Gallery,United Kingdom
1032811b,Canary Wharf,United Kingdom
1032842b,Canary Wharf tube station,United Kingdom
103308727m,Alyth Museum,United Kingdom
103310055m,Amelia Earhart Cottage Museum,United Kingdom
1033431b,Canning Town,United Kingdom
1033599b,Canons Park tube station,United Kingdom
1035742b,Cardiff Castle,United Kingdom
103618349m,306th Bombardment Group Museum,United Kingdom
103621847m,1940s Swansea Bay Museum,United Kingdom
103802422m,389th Bomb Group Memorial Exhibition,United Kingdom
103807293m,390th Bombardment Group Memorial Air Museum,United Kingdom
103810512m,Museum of the British Resistance Organisation,United Kingdom
103811640m,9th/12th Royal Lancers Museum,United Kingdom
103813473m,A World In Miniature Museum,United Kingdom
103813610m,The Crypt Museum,United Kingdom
103861978m,Hugh Miller Museum & Birthplace Cottage,United Kingdom
104853511m,Liverpool Beatles Museum,United Kingdom
104854327m,East End Women's Museum,United Kingdom
104869793m,The Rifles Museum,United Kingdom
104902896m,Museum of Homelessness,United Kingdom
1050293m,Catalyst Science Discovery Centre,United Kingdom
105038697b,second Tyne vehicle tunnel,United Kingdom
105085055b,Forthside Bridge,United Kingdom
105120194m,Bungay Museum,United Kingdom
10534945m,India Museum,United Kingdom
105555386m,Kent Museum of the Moving Image,United Kingdom
106578123m,Antique Breadboard Museum,United Kingdom
1066373b,Selhurst Park,United Kingdom
1068262b,Carlton House Terrace,United Kingdom
1068289b,Chatsworth House,United Kingdom
1070410b,Chertsey Bridge,United Kingdom
107294638m,The Devil’s Porridge Museum,United Kingdom
1073042m,Chiltern Open Air Museum,United Kingdom
107398243b,Blackwall Tunnel (eastern),United Kingdom
107398366b,Blackwall Tunnel (western),United Kingdom
1074875b,Chiswick Park tube station,United Kingdom
107657705m,World of Glass,United Kingdom
1077970b,Christ Church Greyfriars,United Kingdom
107992494m,The Old School,United Kingdom
108042270m,Tangwick Haa museum,United Kingdom
108063855b,Connaught Bridge,United Kingdom
108142914m,Valhalla Museum,United Kingdom
108381199m,Butcher Row House Museum,United Kingdom
108474261m,"Museum of Printing, Birkenhead",United Kingdom
108487666m,Exmouth Museum,United Kingdom
108670178m,Castle House Museum,United Kingdom
108701542m,Museum of Design in Plastics,United Kingdom
108806942m,Unst Heritage Centre,United Kingdom
108806949m,Unst Boat Haven,United Kingdom
108882161m,Sick To Death,United Kingdom
108882994m,W Hourston Blacksmiths Museum,United Kingdom
109252163m,Garioch Heritage Centre,United Kingdom
1093950b,City Hall,United Kingdom
1095075b,Clapham Common tube station,United Kingdom
1095082b,Clapham North tube station,United Kingdom
1095083b,Clapham South tube station,United Kingdom
109719126m,Panacea Museum,United Kingdom
109996849m,Central Saint Martins Museum & Study Collection,United Kingdom
110147122h,Hilton Garden Inn London Heathrow Terminals 2 and 3,United Kingdom
110521938m,Wymondham Heritage Museum,United Kingdom
110521944m,Margate Old Town Local History Museum,United Kingdom
110687141m,Queer Britain,United Kingdom
110713252b,Golden Jubilee Bridges,United Kingdom
1107799b,Craigavon Bridge,United Kingdom
1108796b,Colindale tube station,United Kingdom
111333795b,Kent Messenger Millennium Bridge,United Kingdom
111632655m,"Danum Gallery, Library and Museum",United Kingdom
111817853m,Lancaster Maritime Museum,United Kingdom
111853383b,Hythe Pier,United Kingdom
111895849m,Carrickfergus Museum,United Kingdom
111975948m,Banchory Museum,United Kingdom
111975957m,Banff Museum,United Kingdom
111976011m,Fraserburgh Heritage Centre,United Kingdom
111976023m,Fordyce Joiner's Workshop,United Kingdom
112208934m,Neath Museum,United Kingdom
112231451b,Creagan railway bridge,United Kingdom
1125527b,Rochester Castle,United Kingdom
112613358m,World of Wedgwood,United Kingdom
112730065m,Saltaire Collection,United Kingdom
112977716m,Beside The Seaside Museum,United Kingdom
112977806m,Chimney Pot Museum,United Kingdom
112977808m,Horsforth Museum,United Kingdom
112977975m,Museum of Whitby Jet,United Kingdom
113000163m,Town House Museum of Lynn Life,United Kingdom
113000168m,Eling Experience,United Kingdom
113001392m,Bamburgh Castle Aviation Artefacts Museum,United Kingdom
1130043b,Trinity Bridge,United Kingdom
113015770m,Glenfinnan Station Museum,United Kingdom
113018297b,Hunter Bridge,United Kingdom
113018546b,Fotheringham Bridge,United Kingdom
113032391m,The Storrington And District Museum,United Kingdom
113043989m,Frenchay Village Museum,United Kingdom
113046179m,50 and 61 Squadron Museum,United Kingdom
113056433m,Abergynolwyn Village Museum,United Kingdom
113064640m,Aberystwyth Yesterday,United Kingdom
