s,cname,name,c_id
100287662b,United Kingdom,Aberfeldy Footbridge,http://example.com/country/id/145
100309951b,United Kingdom,Rugby Flyover,http://example.com/country/id/145
100313757b,United Kingdom,Cilcewydd Railway Bridge,http://example.com/country/id/145
100320723b,United Kingdom,Frodsham Bridge 5,http://example.com/country/id/145
100320739b,United Kingdom,Crewgreen Bridge,http://example.com/country/id/145
100457281m,United Kingdom,Lossiemouth Fisheries and Community Museum,http://example.com/country/id/145
100716513b,United Kingdom,Worcester Railway Bridge,http://example.com/country/id/145
101004116m,United Kingdom,Andrew Carnegie Birthplace Museum,http://example.com/country/id/145
1024926b,United Kingdom,Murrayfield Stadium,http://example.com/country/id/145
10257b,United Kingdom,Channel Tunnel,http://example.com/country/id/145
1026013m,United Kingdom,Caithness Broch Centre,http://example.com/country/id/145
102679684m,United Kingdom,Dewsbury Bus Museum,http://example.com/country/id/145
1028041b,United Kingdom,Great Wheel,http://example.com/country/id/145
1028430b,United Kingdom,Camden Town tube station,http://example.com/country/id/145
102928529m,United Kingdom,Acton Scott Working Farm Museum,http://example.com/country/id/145
103038475m,United Kingdom,Aldeburgh Museum,http://example.com/country/id/145
103054216m,United Kingdom,Alfred Corry Lifeboat Museum,http://example.com/country/id/145
1030648m,United Kingdom,Campbeltown Library and Museum,http://example.com/country/id/145
103160541m,United Kingdom,Allen Gallery,http://example.com/country/id/145
1032811b,United Kingdom,Canary Wharf,http://example.com/country/id/145
1032842b,United Kingdom,Canary Wharf tube station,http://example.com/country/id/145
103308727m,United Kingdom,Alyth Museum,http://example.com/country/id/145
103310055m,United Kingdom,Amelia Earhart Cottage Museum,http://example.com/country/id/145
1033431b,United Kingdom,Canning Town,http://example.com/country/id/145
1033599b,United Kingdom,Canons Park tube station,http://example.com/country/id/145
1035742b,United Kingdom,Cardiff Castle,http://example.com/country/id/145
103618349m,United Kingdom,306th Bombardment Group Museum,http://example.com/country/id/145
103621847m,United Kingdom,1940s Swansea Bay Museum,http://example.com/country/id/145
103802422m,United Kingdom,389th Bomb Group Memorial Exhibition,http://example.com/country/id/145
103807293m,United Kingdom,390th Bombardment Group Memorial Air Museum,http://example.com/country/id/145
103810512m,United Kingdom,Museum of the British Resistance Organisation,http://example.com/country/id/145
103811640m,United Kingdom,9th/12th Royal Lancers Museum,http://example.com/country/id/145
103813473m,United Kingdom,A World In Miniature Museum,http://example.com/country/id/145
103813610m,United Kingdom,The Crypt Museum,http://example.com/country/id/145
103861978m,United Kingdom,Hugh Miller Museum & Birthplace Cottage,http://example.com/country/id/145
104853511m,United Kingdom,Liverpool Beatles Museum,http://example.com/country/id/145
104854327m,United Kingdom,East End Women's Museum,http://example.com/country/id/145
104869793m,United Kingdom,The Rifles Museum,http://example.com/country/id/145
104902896m,United Kingdom,Museum of Homelessness,http://example.com/country/id/145
1050293m,United Kingdom,Catalyst Science Discovery Centre,http://example.com/country/id/145
105038697b,United Kingdom,second Tyne vehicle tunnel,http://example.com/country/id/145
105085055b,United Kingdom,Forthside Bridge,http://example.com/country/id/145
105120194m,United Kingdom,Bungay Museum,http://example.com/country/id/145
10534945m,United Kingdom,India Museum,http://example.com/country/id/145
105555386m,United Kingdom,Kent Museum of the Moving Image,http://example.com/country/id/145
106578123m,United Kingdom,Antique Breadboard Museum,http://example.com/country/id/145
1066373b,United Kingdom,Selhurst Park,http://example.com/country/id/145
1068262b,United Kingdom,Carlton House Terrace,http://example.com/country/id/145
1068289b,United Kingdom,Chatsworth House,http://example.com/country/id/145
1070410b,United Kingdom,Chertsey Bridge,http://example.com/country/id/145
107294638m,United Kingdom,The Devil’s Porridge Museum,http://example.com/country/id/145
1073042m,United Kingdom,Chiltern Open Air Museum,http://example.com/country/id/145
107398243b,United Kingdom,Blackwall Tunnel (eastern),http://example.com/country/id/145
107398366b,United Kingdom,Blackwall Tunnel (western),http://example.com/country/id/145
1074875b,United Kingdom,Chiswick Park tube station,http://example.com/country/id/145
107657705m,United Kingdom,World of Glass,http://example.com/country/id/145
1077970b,United Kingdom,Christ Church Greyfriars,http://example.com/country/id/145
107992494m,United Kingdom,The Old School,http://example.com/country/id/145
108042270m,United Kingdom,Tangwick Haa museum,http://example.com/country/id/145
108063855b,United Kingdom,Connaught Bridge,http://example.com/country/id/145
108142914m,United Kingdom,Valhalla Museum,http://example.com/country/id/145
108381199m,United Kingdom,Butcher Row House Museum,http://example.com/country/id/145
108474261m,United Kingdom,"Museum of Printing, Birkenhead",http://example.com/country/id/145
108487666m,United Kingdom,Exmouth Museum,http://example.com/country/id/145
108670178m,United Kingdom,Castle House Museum,http://example.com/country/id/145
108701542m,United Kingdom,Museum of Design in Plastics,http://example.com/country/id/145
108806942m,United Kingdom,Unst Heritage Centre,http://example.com/country/id/145
108806949m,United Kingdom,Unst Boat Haven,http://example.com/country/id/145
108882161m,United Kingdom,Sick To Death,http://example.com/country/id/145
108882994m,United Kingdom,W Hourston Blacksmiths Museum,http://example.com/country/id/145
109252163m,United Kingdom,Garioch Heritage Centre,http://example.com/country/id/145
1093950b,United Kingdom,City Hall,http://example.com/country/id/145
1095075b,United Kingdom,Clapham Common tube station,http://example.com/country/id/145
1095082b,United Kingdom,Clapham North tube station,http://example.com/country/id/145
1095083b,United Kingdom,Clapham South tube station,http://example.com/country/id/145
109719126m,United Kingdom,Panacea Museum,http://example.com/country/id/145
109996849m,United Kingdom,Central Saint Martins Museum & Study Collection,http://example.com/country/id/145
110147122h,United Kingdom,Hilton Garden Inn London Heathrow Terminals 2 and 3,http://example.com/country/id/145
110521938m,United Kingdom,Wymondham Heritage Museum,http://example.com/country/id/145
110521944m,United Kingdom,Margate Old Town Local History Museum,http://example.com/country/id/145
110687141m,United Kingdom,Queer Britain,http://example.com/country/id/145
110713252b,United Kingdom,Golden Jubilee Bridges,http://example.com/country/id/145
1107799b,United Kingdom,Craigavon Bridge,http://example.com/country/id/145
1108796b,United Kingdom,Colindale tube station,http://example.com/country/id/145
111333795b,United Kingdom,Kent Messenger Millennium Bridge,http://example.com/country/id/145
111632655m,United Kingdom,"Danum Gallery, Library and Museum",http://example.com/country/id/145
111817853m,United Kingdom,Lancaster Maritime Museum,http://example.com/country/id/145
111853383b,United Kingdom,Hythe Pier,http://example.com/country/id/145
111895849m,United Kingdom,Carrickfergus Museum,http://example.com/country/id/145
111975948m,United Kingdom,Banchory Museum,http://example.com/country/id/145
111975957m,United Kingdom,Banff Museum,http://example.com/country/id/145
111976011m,United Kingdom,Fraserburgh Heritage Centre,http://example.com/country/id/145
111976023m,United Kingdom,Fordyce Joiner's Workshop,http://example.com/country/id/145
112208934m,United Kingdom,Neath Museum,http://example.com/country/id/145
112231451b,United Kingdom,Creagan railway bridge,http://example.com/country/id/145
1125527b,United Kingdom,Rochester Castle,http://example.com/country/id/145
112613358m,United Kingdom,World of Wedgwood,http://example.com/country/id/145
112730065m,United Kingdom,Saltaire Collection,http://example.com/country/id/145
112977716m,United Kingdom,Beside The Seaside Museum,http://example.com/country/id/145
112977806m,United Kingdom,Chimney Pot Museum,http://example.com/country/id/145
112977808m,United Kingdom,Horsforth Museum,http://example.com/country/id/145
112977975m,United Kingdom,Museum of Whitby Jet,http://example.com/country/id/145
113000163m,United Kingdom,Town House Museum of Lynn Life,http://example.com/country/id/145
113000168m,United Kingdom,Eling Experience,http://example.com/country/id/145
113001392m,United Kingdom,Bamburgh Castle Aviation Artefacts Museum,http://example.com/country/id/145
1130043b,United Kingdom,Trinity Bridge,http://example.com/country/id/145
