country_name,name,c_id,s
Afghanistan,Arabic Inscriptions of Jam,http://example.com/country/id/889,65953935w
Afghanistan,Buddhas of Bamiyan,http://example.com/country/id/889,484458w
Afghanistan,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,http://example.com/country/id/889,50810144w
Afghanistan,Darul Aman Palace,http://example.com/country/id/889,http://example.com/building/id/902222b
Afghanistan,Herat National Museum,http://example.com/country/id/889,5732778m
Afghanistan,Jewish Cemetery of Jam,http://example.com/country/id/889,65953934w
Afghanistan,Kajaki Dam,http://example.com/country/id/889,http://example.com/building/id/1721841b
Afghanistan,Kalai Ghamai Caves,http://example.com/country/id/889,65953830w
Afghanistan,Kandahar Provincial Museum,http://example.com/country/id/889,6361210m
Afghanistan,Lashkar Gah Mosque,http://example.com/country/id/889,http://example.com/building/id/2029851b
Afghanistan,Malan bridge,http://example.com/country/id/889,http://example.com/building/id/63181121b
Afghanistan,Minaret and Archaeological Remains of Jam,http://example.com/country/id/889,65953897w
Afghanistan,Minaret of Jam,http://example.com/country/id/889,192981w
Afghanistan,Minaret of Jam,http://example.com/country/id/889,http://example.com/building/id/192981b
Afghanistan,Nangarhar Provincial Museum,http://example.com/country/id/889,6963490m
Afghanistan,National Museum of Afghanistan,http://example.com/country/id/889,715467m
Afghanistan,Pul-e Khishti Mosque,http://example.com/country/id/889,http://example.com/building/id/2393709b
Afghanistan,Qallay Kaphari A,http://example.com/country/id/889,65953845w
Afghanistan,Qallay Kaphari B,http://example.com/country/id/889,65953849w
Afghanistan,Qoul-I Akram Caves,http://example.com/country/id/889,65953826w
Afghanistan,Salang Tunnel,http://example.com/country/id/889,http://example.com/building/id/1917594b
Afghanistan,Shah-Do Shamshira Mosque,http://example.com/country/id/889,http://example.com/building/id/7461208b
Afghanistan,Shahr-e Gholghola,http://example.com/country/id/889,7461875w
Afghanistan,"Shahr-e Zuhak, Bamyan",http://example.com/country/id/889,7461890w
Afghanistan,Water Reservoir of Jam,http://example.com/country/id/889,65953936w
Albania,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,http://example.com/country/id/222,156011w
