cname,s,country_id,name
Afghanistan,1721841b,http://example.com/country/id/889,Kajaki Dam
Afghanistan,1917594b,http://example.com/country/id/889,Salang Tunnel
Afghanistan,192981b,http://example.com/country/id/889,Minaret of Jam
Afghanistan,2029851b,http://example.com/country/id/889,Lashkar Gah Mosque
Afghanistan,2393709b,http://example.com/country/id/889,Pul-e Khishti Mosque
Afghanistan,5732778m,http://example.com/country/id/889,Herat National Museum
Afghanistan,63181121b,http://example.com/country/id/889,Malan bridge
Afghanistan,6361210m,http://example.com/country/id/889,Kandahar Provincial Museum
Afghanistan,6963490m,http://example.com/country/id/889,Nangarhar Provincial Museum
Afghanistan,715467m,http://example.com/country/id/889,National Museum of Afghanistan
Afghanistan,7461208b,http://example.com/country/id/889,Shah-Do Shamshira Mosque
Afghanistan,902222b,http://example.com/country/id/889,Darul Aman Palace
Afghanistan,http://example.com/heritage/id/192981w,http://example.com/country/id/889,Minaret of Jam
Afghanistan,http://example.com/heritage/id/484458w,http://example.com/country/id/889,Buddhas of Bamiyan
Afghanistan,http://example.com/heritage/id/50810144w,http://example.com/country/id/889,Cultural Landscape and Archaeological Remains of the Bamiyan Valley
Afghanistan,http://example.com/heritage/id/65953826w,http://example.com/country/id/889,Qoul-I Akram Caves
Afghanistan,http://example.com/heritage/id/65953830w,http://example.com/country/id/889,Kalai Ghamai Caves
Afghanistan,http://example.com/heritage/id/65953845w,http://example.com/country/id/889,Qallay Kaphari A
Afghanistan,http://example.com/heritage/id/65953849w,http://example.com/country/id/889,Qallay Kaphari B
Afghanistan,http://example.com/heritage/id/65953897w,http://example.com/country/id/889,Minaret and Archaeological Remains of Jam
Afghanistan,http://example.com/heritage/id/65953934w,http://example.com/country/id/889,Jewish Cemetery of Jam
Afghanistan,http://example.com/heritage/id/65953935w,http://example.com/country/id/889,Arabic Inscriptions of Jam
Afghanistan,http://example.com/heritage/id/65953936w,http://example.com/country/id/889,Water Reservoir of Jam
Afghanistan,http://example.com/heritage/id/7461875w,http://example.com/country/id/889,Shahr-e Gholghola
Afghanistan,http://example.com/heritage/id/7461890w,http://example.com/country/id/889,"Shahr-e Zuhak, Bamyan"
Albania,115481981b,http://example.com/country/id/222,Mat River Bridge
Albania,1249790m,http://example.com/country/id/222,Historical Museum of Skodër
Albania,13039148m,http://example.com/country/id/222,Fototeka Marubi
Albania,13043204m,http://example.com/country/id/222,Kruja Ethnographic Museum
Albania,13043216m,http://example.com/country/id/222,National Museum of Weapons
Albania,16349431m,http://example.com/country/id/222,National Museum of Education
Albania,177335b,http://example.com/country/id/222,Pyramid of Tirana
Albania,1968108m,http://example.com/country/id/222,National Art Gallery of Albania
Albania,28115654b,http://example.com/country/id/222,Bushtrica bridge
Albania,31665506m,http://example.com/country/id/222,Bunk’Art
Albania,31666886m,http://example.com/country/id/222,Bunk’Art 2
Albania,3303191m,http://example.com/country/id/222,Gjergj Kastrioti Skënderbeu National Museum
Albania,4135100b,http://example.com/country/id/222,Zemra e Krishtit Catholic Church of Tirana
Albania,5160877m,http://example.com/country/id/222,Congress of Lushnjë Museum
Albania,5316767m,http://example.com/country/id/222,Durrës Archaeological Museum
Albania,60773353m,http://example.com/country/id/222,Museum of Secret Surveillance
Albania,63859908h,http://example.com/country/id/222,Hilton Garden Inn Tirana
Albania,6980610m,http://example.com/country/id/222,Natural Sciences Museum Sabiha Kasimati
Albania,76355045h,http://example.com/country/id/222,Arena Center
Albania,798610b,http://example.com/country/id/222,Et'hem Bey Mosque
Albania,856285b,http://example.com/country/id/222,Mes Bridge
Albania,97329119m,http://example.com/country/id/222,Kukes Ethnographic Museum
Albania,97329168m,http://example.com/country/id/222,Museum in Diber
Albania,http://example.com/heritage/id/156011w,http://example.com/country/id/222,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe
Albania,http://example.com/heritage/id/188694w,http://example.com/country/id/222,Butrint
Albania,http://example.com/heritage/id/2215414w,http://example.com/country/id/222,Natural and Cultural Heritage of the Ohrid region
