s,cname,name,c_id
http://example.com/heritage/id/1013209w,Japan,Nakagusuku Castle,http://example.com/country/id/17
http://example.com/heritage/id/1013399w,Japan,Imperial Villa Nijō Castle,http://example.com/country/id/17
http://example.com/heritage/id/1036938w,Japan,Mount Yoshino,http://example.com/country/id/17
http://example.com/heritage/id/1046403w,Japan,Tō-ji,http://example.com/country/id/17
http://example.com/heritage/id/1055749w,Japan,Historic Monuments of Ancient Nara,http://example.com/country/id/17
http://example.com/heritage/id/1063133w,Japan,Shrines and Temples of Nikkō,http://example.com/country/id/17
http://example.com/heritage/id/1064830w,Japan,Hagi Castle,http://example.com/country/id/17
http://example.com/heritage/id/1070863w,Japan,Kōfuku-ji,http://example.com/country/id/17
http://example.com/heritage/id/1072125w,Japan,Chichijima,http://example.com/country/id/17
http://example.com/heritage/id/10856210w,Japan,Nozaki Island,http://example.com/country/id/17
http://example.com/heritage/id/10889854w,Japan,Anijima,http://example.com/country/id/17
http://example.com/heritage/id/10943106w,Japan,Imōtojima,http://example.com/country/id/17
http://example.com/heritage/id/10943140w,Japan,Anejima,http://example.com/country/id/17
http://example.com/heritage/id/11275423w,Japan,Hazamiyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11357149w,Japan,Mitsubishi Heavy Industries Nagasaki Shipyard & Machinery Works Historical Museum,http://example.com/country/id/17
http://example.com/heritage/id/11357227w,Japan,Port of Misumi,http://example.com/country/id/17
http://example.com/heritage/id/11359978w,Japan,Kamiishizu Misanzai Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11368031w,Japan,Maruhoyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11370708w,Japan,Kamegaoka Stone Age Site,http://example.com/country/id/17
http://example.com/heritage/id/11376150w,Japan,Hitoana Fuji-ko Iseki,http://example.com/country/id/17
http://example.com/heritage/id/11378467w,Japan,Nakatsuyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11378977w,Japan,Isedōtai Site,http://example.com/country/id/17
http://example.com/heritage/id/11402500w,Japan,Jōmon Prehistoric Sites in Northern Japan,http://example.com/country/id/17
http://example.com/heritage/id/11407776w,Japan,Minamijima,http://example.com/country/id/17
http://example.com/heritage/id/11410610w,Japan,Osamezuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11411025w,Japan,Komuroyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11415923w,Japan,Mukōhakayama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11423449w,Japan,Haze Nisanzai Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11429120w,Japan,Hakayama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11441985w,Japan,Ōtorizuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11444847w,Japan,"Amami-Ōshima Island, Tokunoshima Island, northern part of Okinawa Island, and Iriomote Island",http://example.com/country/id/17
http://example.com/heritage/id/11447744w,Japan,Nakōdo Island,http://example.com/country/id/17
http://example.com/heritage/id/11447764w,Japan,Yomejima,http://example.com/country/id/17
http://example.com/heritage/id/1146038w,Japan,Nishi Hongan-ji,http://example.com/country/id/17
http://example.com/heritage/id/11467749w,Japan,Yamamiya Sengen Shrine,http://example.com/country/id/17
http://example.com/heritage/id/11471921w,Japan,Oka Misanzai Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11476069w,Japan,Minegazuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11479972w,Japan,Ichinoyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11487395w,Japan,Otōtojima,http://example.com/country/id/17
http://example.com/heritage/id/11489009w,Japan,Gobyōyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/11489085w,Japan,Goshono Site,http://example.com/country/id/17
http://example.com/heritage/id/11514205w,Japan,Korekawa Site,http://example.com/country/id/17
http://example.com/heritage/id/1151821w,Japan,North Iwo Jima,http://example.com/country/id/17
http://example.com/heritage/id/11544148w,Japan,Hashino iron mining and smelting site,http://example.com/country/id/17
http://example.com/heritage/id/11555978w,Japan,Tsudō-Shiroyama Kofun,http://example.com/country/id/17
