s,name
10000136m,Friedrichshafen school museum
1000054b,Zisa Castle
1000590m,Ferenczy Museum
1000634m,Aeropark
1000780m,Chinese Museum of Medical History
1000781b,Buddenturm
100144719m,Miraflores Locks Visitors Center
100151800b,Weilburg Railroad Tunnel
100152068m,"Old Court House, Pingelly"
1001583b,Budvar Arena
1001643b,Florence–Rome high-speed railway
100166601b,516 Arouca
1001929b,Buffalo Bill Dam
1001988b,Buffalo City Hall
1002016m,Buffalo Nations Luxton Museum
100213642m,Summit Historical Society
100252269m,Museum of Colonial Religious Art
100263681m,Ghent University Museum
100271920m,Tressie's Museum & Caravan Park
100272163b,Pont de la Manda
100287554b,Reveston Tunnel
100287609b,Schermbeck A Viaduct
100287662b,Aberfeldy Footbridge
100287874b,Barrios Tunnel
100287934b,Stone Bridge
100288026b,Henderson Road Bridge
100288769b,Biogna Tunnel
100293283b,Britzer-Allee-Brücke
100293380b,Pont de Vianden
100294398b,Big Soldier Creek Bridge
100296429b,Taubentalsbach Viaduct
100296905b,Mangaweka Bridge
100297710b,Villieu Viaduct
100298149b,Urt Bridge
100298438b,Sutum Bridge
100299086b,Saint-Julien Canal Bridge
100299287b,Montfrin Bridge
100299710b,Ahsener Brücke
100299917b,Wolfsau Viaduct
100303173b,Grüne Brücke
100309486b,Setoko-Nipah Bridge
100309736b,Eisenbahnbrücke über die Apfelstädt
100309951b,Rugby Flyover
100310390b,Pont de Pau
100311164b,Allerbrücke A7
100313325b,Marcillac Railroad Viaduct
100313462b,Tabac Gorge Viaduct
100313636b,North Fork Nehalem River Bridge
100313757b,Cilcewydd Railway Bridge
100314620b,Casamozza Railroad Bridge
100318819b,U.P.R.R. - Snake River Bridge
100319133b,Cure Bridge
100320698b,Alfbach Viaduct
100320718b,CR 60 Tallapoosa River Bridge
100320720b,Westtangenten Bridge at Kelheim
100320723b,Frodsham Bridge 5
100320739b,Crewgreen Bridge
100320761b,Diepmannsbach Bridge at Remscheid-Lennep
100320766b,Pont du Gour Noir
100320769b,Pont du Maire Kuss
100320770b,Estirac Bridge
100320780b,Poggenmühlenbrücke
100320870b,Baltschiederbrücke
100320955b,Saint-Jean-de-Fos Canal Bridge
100321833b,Ourense Viaduct
100321852b,Pont des Six-Liards
100323432b,Sigulda Bridge
100323512b,Fontannes Tunnel
100323673b,Massoins Bridge
100323682b,Lamouroux Viaduct
100323716b,Pont Neuf
100325099b,Fawcett Road Bridge
100325870b,Tapia de la Ribera Tower
100326067b,Gustave Eiffel Bridge
100326369b,Dry Gulch Bridge
100326403m,Cumberland Island National Seashore Museum
100326532b,Ferrara Railway Bridge
100326552b,Rush's Mill Bridge
100326572b,Rethen Viaduct
100326592b,Swift River Bridge
100326605b,Saint-Géry Bridge
100326654b,Huangbohe Bridge
100326670b,Elberon Avenue Bridge
100327024b,Negley Bridge
100332669b,Agua Fria Railroad Bridge
100348225m,Mgungundlovu Multimedia Centre
1003535b,Frank Sherwin Bridge
100355215b,Lavoitobel Bridge
100371210b,Aqueduc de Jacourelle
100410602m,Aloe Vera Ibiza Museum
1004331b,Cathedral of Funchal
100456245m,Rättvik's Nature Museum
100457281m,Lossiemouth Fisheries and Community Museum
100530088m,Openluchtmuseum Fort Nieuw-Amsterdam
100537697b,Karolinenbrücke
100586258m,Východočeský památník celnictví
1005878b,Qingdao railway station
1006584m,Fürdőmúzeum
100696259b,Neshanic Station Lenticular Truss Bridge
100700993b,Pont de l'Arche de Noé
100709743m,Tumurun Private Museum
100716513b,Worcester Railway Bridge
100744628m,Museum of Sunclocks
100748253m,Villa Finale
100761475m,centre d'interprétation multiethnique de Rawdon
1007726b,Galleria Umberto I
100786302m,Machine Tool Museum
100786471b,Indian Camp Covered Bridge
100877359h,Müritz Hotel
100878014b,Stevenson Road Covered Bridge
100878504m,Mummers Museum
100894861m,Silva Kaputikyan House-Museum
1009318b,Witbank Dam
1009341b,Boskop Dam
100955379m,Theodoros Papagiannis museum of contemporary art
1009599m,Bunkermuseum Frauenwald
100979939m,Museum of Folk Art
100979952m,Museum of Chukotka Heritage
100995577m,Casa Museo Niceto Alcalá-Zamora
101004116m,Andrew Carnegie Birthplace Museum
1010268b,Basilica of St. Sernin
101044863m,Ryazanka Estate
101054169b,Pont de l'Orignal
1010647m,Burg (Klagenfurt)
101069198b,Alberto Lleras Dam
101069831m,Heritage House - IPHAN Alagoas
101072725m,Pierre Chalita Foundation (Jaraguá)
101084958b,1270 Avenue of the Americas
1010879b,Château d'Arques
101091693b,Pont de la Calamité
101094405b,Castillo de San Marcos
101094890b,Orangery of Sceaux
1011026b,Château de Beynac
1011058b,Château de Blandy-les-Tours
101109957b,Patrick G. and Shirley W. Ryan Center for the Musical Arts
101110028b,Pont Dénommée
1011162b,Bourscheid Castle
1011357b,Château de Castelnaud-la-Chapelle
1011361b,Château de Châlus-Chabrol
1011390b,Château de Clisson
1011395b,Tour de Crest
1011444m,Burg Deutschlandsberg
1011471m,Museum of Dieppe
1011537m,Ehrenberg Castle
1011625m,Eketorp Fort
1011881h,Burg Großfurra
1011985b,Château de Gisors
1011988m,Gnandstein Castle
1012001m,Burg Golling
1012188m,Harburg Castle
101241426b,Eisenbahnbrücke (Tübingen)
101244279b,177 Huntington
1012561m,Häme Castle
1012592m,Burgruine Kaja
101265669m,Hereke Silk Weaving and Carpet Factory
1012675b,Schloss Klamm
1012867m,Kernburg
1012889b,Château de Lavardin
1013013b,Burg Lohra
1013131m,Mildenstein Castle
1013310b,Château du Nouveau-Windstein
1013399b,Imperial Villa Nijō Castle
1013453m,Burg Pappenheim
1013517m,Burg Posterstein
1013562m,château de Raeren
1013565m,Kasteel Radboud
1013645m,Burg Reinsberg
1013993b,Château de Sedan
1014027m,Burg Spielberg
101403951b,Turati Tower
101405593m,Rossini national museum
1014126m,Het Steen
1014157m,Strechau Castle
1014264b,Château de Tournoël
1014402b,Vianden Castle
1014446b,Castle of Vêves
1014536m,Burg Wels
101477076m,Varala Museum of Gymnastics
1014871m,"Castle Museum, Nideggen"
10149b,Ancient theatre of Vienne
1015042h,Burghaus Burgsahr
1015064m,Burghof
1015081b,Burgholztunnel
1015115m,Kulturforum Burgkloster
1015411b,Jintang Bridge
101563299b,Nepomucenusbrug
101579932m,Ľudovít Štúr Museum
101593749m,Tour de l'Horloge
1016053b,Burgtorbrücke
1017144b,Burtscheider Viadukt
101730b,1998 FIFA World Cup
10174b,Lyon tramway
101751b,1994 FIFA World Cup
101775771m,Royal Carriages museum
101801865m,musée archéologique du Minervois
1018164b,Buttes Chaumont
101847441b,Nirjhor Residential Area Connecting Bridge
1018499b,Byfjord Tunnel
1018775m,Byzantine & Christian Museum
1019712m,Böhmerwaldmuseum Wien
1020216b,Bømlafjord Tunnel
1020395m,Büchnerhaus
102045454b,Sidney Lanier Bridge
102045968b,Crescent City Connection (North)
102045972b,Crescent City Connection (South)
102046183b,Bengbu Bridge
102046231b,New Leverkusen Bridge
102046887b,Viergelindenbrücke
102047714b,Viaduc métro 8 de Charenton
1021216b,Bürgermeister-Smidt-Brücke
1021703m,Brushmakers' Museum
1022553m,CP Nel Museum
102257148m,Amaiur Arkeologia Zentroa
102283031m,A. Philip Randolph Pullman Porter Museum
1023114b,CDGVAL
102312434b,Ellis Island National Museum of Immigration
102312434m,Ellis Island National Museum of Immigration
102326972m,Kutschensammlung Heinz Scheidel
102337148m,Morro Bay Skateboard Museum
102338641m,Municipal Museum Příbor
1023450m,CFB Esquimalt
102393850b,église Saint-Pierre de Génicourt
102401443m,Bayt Dakira
1024181m,Pushkin House
102452145m,"Temple of Augustus, Cartagena"
1024829m,Buenos Aires Cabildo
1024926b,Murrayfield Stadium
1025406b,Astrodome
1025640b,Café Moskau
10257b,Channel Tunnel
1026013m,Caithness Broch Centre
1026041m,CaixaForum Madrid
1026689b,Calgary Tower
102679684m,Dewsbury Bus Museum
1026860b,California State Capitol
1027362b,Tower Bridge
10275637b,Catete
10275653b,Cisneros station
10275655m,Estação Ciência da Universidade de São Paulo
10275730m,Estação Elevatória a Vapor dos Barbadinhos
10275753b,Exposiciones station
10275807b,Flamengo
10275821b,Nasser
10275827b,Opera
10275870b,Inhaúma
10275871b,Innsbrucker Platz metro station
10275929b,Largo do Machado
10276154b,State Center
10276187b,Thomáz Coelho
10276204b,Orabi
102762485m,Himalayan Mountaineering Institute museum
1027637m,Gorsium/Herculia
102765453m,Bengal Natural History Museum
102767953m,Deshbandhu Museum
10277413b,Estádio Presidente Vargas
10280162b,Olinda Lighthouse
10280171m,Santa Marta Lighthouse
10280205b,The Cathedral of Bissau
10280390m,Fazenda Capão Alto
1028041b,Great Wheel
10280431m,Fazenda Salto Grande
1028202b,San Salvador
1028275b,Truist Field at Wake Forest
10283605m,Historical Museum of Senegal
10283640m,Fortaleza de São José de Macapá
1028430b,Camden Town tube station
1028555m,Camera Austria
10285b,Colosseum
10286368m,Museu da Imagem e do Som do Rio de Janeiro
1028696b,Deák Ferenc tér
1028759b,Basilica of SS. Peter and Alexander
10288b,Parthenon
1028985b,Bajcsy-Zsilinszky út
1029092b,Vörösmarty tér
10290950m,Grande Hotel de Goiânia
1029098b,Oktogon
1029127b,Opera
1029132b,Louis Armstrong Stadium
1029180b,Kontula metro station
102928529m,Acton Scott Working Farm Museum
10297111b,La Vicaria Arch Bridge
1029764m,Gyugyi Collection
10298609m,Hotel Globo
1029921b,Blue Line
1029941b,Camp Randall Stadium
10300396b,Church of Our Lady of Grace of the Jesuits’ College
10300690b,Igreja de Santo Antão (Évora)
10300880b,Basílica do Bom Jesus do Monte
10300967b,"Basilica and Monastery of St. Benedict, Olinda"
1030135b,Église Notre-Dame-du-Perpétuel-Secours
1030136b,Dearborn River High Bridge
1030210m,Mäulesmühle
10302449m,Cravo Albin Cultural Institute
10302528m,Instituto Histórico-Cultural da Aeronáutica
10302531m,Instituto Histórico e Geográfico de Alagoas
10302546m,Instituto Histórico e Geográfico do Rio Grande do Sul
