s,object_type
10000136m,http://example.com/ontology/Museum
1000054b,http://example.com/ontology/Building
1000054w,http://example.com/ontology/Heritage
1000590m,http://example.com/ontology/Museum
1000634m,http://example.com/ontology/Museum
1000780m,http://example.com/ontology/Museum
1000781b,http://example.com/ontology/Building
1001352w,http://example.com/ontology/Heritage
100144719m,http://example.com/ontology/Museum
100151800b,http://example.com/ontology/Building
100152068m,http://example.com/ontology/Museum
1001583b,http://example.com/ontology/Building
1001643b,http://example.com/ontology/Building
100166601b,http://example.com/ontology/Building
1001929b,http://example.com/ontology/Building
1001988b,http://example.com/ontology/Building
1002016m,http://example.com/ontology/Museum
100213642m,http://example.com/ontology/Museum
100252269m,http://example.com/ontology/Museum
100263681m,http://example.com/ontology/Museum
100271920m,http://example.com/ontology/Museum
100272163b,http://example.com/ontology/Building
100287554b,http://example.com/ontology/Building
100287609b,http://example.com/ontology/Building
100287662b,http://example.com/ontology/Building
100287874b,http://example.com/ontology/Building
100287934b,http://example.com/ontology/Building
100288026b,http://example.com/ontology/Building
100288769b,http://example.com/ontology/Building
100293283b,http://example.com/ontology/Building
100293380b,http://example.com/ontology/Building
100294398b,http://example.com/ontology/Building
100296429b,http://example.com/ontology/Building
100296905b,http://example.com/ontology/Building
100297710b,http://example.com/ontology/Building
100298149b,http://example.com/ontology/Building
100298438b,http://example.com/ontology/Building
100299086b,http://example.com/ontology/Building
100299287b,http://example.com/ontology/Building
100299710b,http://example.com/ontology/Building
100299917b,http://example.com/ontology/Building
100303173b,http://example.com/ontology/Building
100309486b,http://example.com/ontology/Building
100309736b,http://example.com/ontology/Building
100309951b,http://example.com/ontology/Building
100310390b,http://example.com/ontology/Building
100311164b,http://example.com/ontology/Building
100313325b,http://example.com/ontology/Building
100313462b,http://example.com/ontology/Building
100313636b,http://example.com/ontology/Building
100313757b,http://example.com/ontology/Building
100314620b,http://example.com/ontology/Building
100318819b,http://example.com/ontology/Building
100319133b,http://example.com/ontology/Building
100320698b,http://example.com/ontology/Building
100320718b,http://example.com/ontology/Building
100320720b,http://example.com/ontology/Building
100320723b,http://example.com/ontology/Building
100320739b,http://example.com/ontology/Building
100320761b,http://example.com/ontology/Building
100320766b,http://example.com/ontology/Building
100320769b,http://example.com/ontology/Building
100320770b,http://example.com/ontology/Building
100320780b,http://example.com/ontology/Building
100320870b,http://example.com/ontology/Building
100320955b,http://example.com/ontology/Building
100321833b,http://example.com/ontology/Building
100321852b,http://example.com/ontology/Building
100323432b,http://example.com/ontology/Building
100323512b,http://example.com/ontology/Building
100323673b,http://example.com/ontology/Building
100323682b,http://example.com/ontology/Building
100323716b,http://example.com/ontology/Building
100325099b,http://example.com/ontology/Building
100325870b,http://example.com/ontology/Building
100326067b,http://example.com/ontology/Building
100326369b,http://example.com/ontology/Building
100326403m,http://example.com/ontology/Museum
100326532b,http://example.com/ontology/Building
100326552b,http://example.com/ontology/Building
100326572b,http://example.com/ontology/Building
100326592b,http://example.com/ontology/Building
100326605b,http://example.com/ontology/Building
100326654b,http://example.com/ontology/Building
100326670b,http://example.com/ontology/Building
100327024b,http://example.com/ontology/Building
100329356w,http://example.com/ontology/Heritage
100332669b,http://example.com/ontology/Building
100348225m,http://example.com/ontology/Museum
1003535b,http://example.com/ontology/Building
100355215b,http://example.com/ontology/Building
100371210b,http://example.com/ontology/Building
100410602m,http://example.com/ontology/Museum
1004331b,http://example.com/ontology/Building
100456245m,http://example.com/ontology/Museum
100457281m,http://example.com/ontology/Museum
100530088m,http://example.com/ontology/Museum
100537697b,http://example.com/ontology/Building
100586258m,http://example.com/ontology/Museum
1005878b,http://example.com/ontology/Building
1006584m,http://example.com/ontology/Museum
1006702w,http://example.com/ontology/Heritage
100696259b,http://example.com/ontology/Building
100700993b,http://example.com/ontology/Building
100709743m,http://example.com/ontology/Museum
100716513b,http://example.com/ontology/Building
100744628m,http://example.com/ontology/Museum
100748253m,http://example.com/ontology/Museum
100761475m,http://example.com/ontology/Museum
1007726b,http://example.com/ontology/Building
100786302m,http://example.com/ontology/Museum
100786471b,http://example.com/ontology/Building
100877359h,http://example.com/ontology/Hotel
100878014b,http://example.com/ontology/Building
100878504m,http://example.com/ontology/Museum
100894861m,http://example.com/ontology/Museum
1009318b,http://example.com/ontology/Building
1009341b,http://example.com/ontology/Building
100955379m,http://example.com/ontology/Museum
1009599m,http://example.com/ontology/Museum
100979939m,http://example.com/ontology/Museum
100979952m,http://example.com/ontology/Museum
100995577m,http://example.com/ontology/Museum
101004116m,http://example.com/ontology/Museum
1010268b,http://example.com/ontology/Building
1010268w,http://example.com/ontology/Heritage
1010335w,http://example.com/ontology/Heritage
101044863m,http://example.com/ontology/Museum
101054169b,http://example.com/ontology/Building
1010647m,http://example.com/ontology/Museum
101069198b,http://example.com/ontology/Building
101069831m,http://example.com/ontology/Museum
101072725m,http://example.com/ontology/Museum
101084958b,http://example.com/ontology/Building
1010879b,http://example.com/ontology/Building
101091693b,http://example.com/ontology/Building
101094405b,http://example.com/ontology/Building
101094890b,http://example.com/ontology/Building
1011026b,http://example.com/ontology/Building
1011058b,http://example.com/ontology/Building
101109957b,http://example.com/ontology/Building
101110028b,http://example.com/ontology/Building
1011162b,http://example.com/ontology/Building
1011357b,http://example.com/ontology/Building
1011361b,http://example.com/ontology/Building
1011390b,http://example.com/ontology/Building
1011395b,http://example.com/ontology/Building
1011444m,http://example.com/ontology/Museum
1011471m,http://example.com/ontology/Museum
1011537m,http://example.com/ontology/Museum
1011625m,http://example.com/ontology/Museum
1011881h,http://example.com/ontology/Hotel
1011985b,http://example.com/ontology/Building
1011988m,http://example.com/ontology/Museum
1012001m,http://example.com/ontology/Museum
1012188m,http://example.com/ontology/Museum
101241426b,http://example.com/ontology/Building
101244279b,http://example.com/ontology/Building
1012561m,http://example.com/ontology/Museum
1012592m,http://example.com/ontology/Museum
101265669m,http://example.com/ontology/Museum
1012675b,http://example.com/ontology/Building
1012867m,http://example.com/ontology/Museum
1012889b,http://example.com/ontology/Building
1012965w,http://example.com/ontology/Heritage
1013013b,http://example.com/ontology/Building
1013131m,http://example.com/ontology/Museum
1013209w,http://example.com/ontology/Heritage
1013310b,http://example.com/ontology/Building
1013353w,http://example.com/ontology/Heritage
1013399b,http://example.com/ontology/Building
1013399w,http://example.com/ontology/Heritage
1013453m,http://example.com/ontology/Museum
1013468w,http://example.com/ontology/Heritage
1013517m,http://example.com/ontology/Museum
1013562m,http://example.com/ontology/Museum
1013565m,http://example.com/ontology/Museum
1013645m,http://example.com/ontology/Museum
1013993b,http://example.com/ontology/Building
1014027m,http://example.com/ontology/Museum
101403951b,http://example.com/ontology/Building
101405593m,http://example.com/ontology/Museum
1014126m,http://example.com/ontology/Museum
1014157m,http://example.com/ontology/Museum
1014264b,http://example.com/ontology/Building
1014402b,http://example.com/ontology/Building
1014446b,http://example.com/ontology/Building
1014536m,http://example.com/ontology/Museum
101477076m,http://example.com/ontology/Museum
1014871m,http://example.com/ontology/Museum
10149b,http://example.com/ontology/Building
1015042h,http://example.com/ontology/Hotel
1015064m,http://example.com/ontology/Museum
1015081b,http://example.com/ontology/Building
1015090w,http://example.com/ontology/Heritage
1015115m,http://example.com/ontology/Museum
1015194w,http://example.com/ontology/Heritage
1015411b,http://example.com/ontology/Building
101563299b,http://example.com/ontology/Building
101579932m,http://example.com/ontology/Museum
101593749m,http://example.com/ontology/Museum
1016053b,http://example.com/ontology/Building
1017144b,http://example.com/ontology/Building
101730b,http://example.com/ontology/Building
10174b,http://example.com/ontology/Building
101751b,http://example.com/ontology/Building
101775771m,http://example.com/ontology/Museum
101801865m,http://example.com/ontology/Museum
1018164b,http://example.com/ontology/Building
101847441b,http://example.com/ontology/Building
1018499b,http://example.com/ontology/Building
1018661w,http://example.com/ontology/Heritage
1018764w,http://example.com/ontology/Heritage
1018775m,http://example.com/ontology/Museum
1019712m,http://example.com/ontology/Museum
1020216b,http://example.com/ontology/Building
1020395m,http://example.com/ontology/Museum
102045454b,http://example.com/ontology/Building
102045968b,http://example.com/ontology/Building
102045972b,http://example.com/ontology/Building
102046183b,http://example.com/ontology/Building
102046231b,http://example.com/ontology/Building
102046887b,http://example.com/ontology/Building
102047714b,http://example.com/ontology/Building
1021216b,http://example.com/ontology/Building
1021703m,http://example.com/ontology/Museum
1022553m,http://example.com/ontology/Museum
102257148m,http://example.com/ontology/Museum
102283031m,http://example.com/ontology/Museum
1023114b,http://example.com/ontology/Building
102312434b,http://example.com/ontology/Building
102312434m,http://example.com/ontology/Museum
102326972m,http://example.com/ontology/Museum
102337148m,http://example.com/ontology/Museum
102338641m,http://example.com/ontology/Museum
1023450m,http://example.com/ontology/Museum
102393850b,http://example.com/ontology/Building
102401443m,http://example.com/ontology/Museum
1024181m,http://example.com/ontology/Museum
102452145m,http://example.com/ontology/Museum
1024723w,http://example.com/ontology/Heritage
1024829m,http://example.com/ontology/Museum
1024926b,http://example.com/ontology/Building
1025100w,http://example.com/ontology/Heritage
1025339w,http://example.com/ontology/Heritage
1025354w,http://example.com/ontology/Heritage
1025406b,http://example.com/ontology/Building
1025640b,http://example.com/ontology/Building
10257b,http://example.com/ontology/Building
1025825w,http://example.com/ontology/Heritage
1026013m,http://example.com/ontology/Museum
1026041m,http://example.com/ontology/Museum
1026415w,http://example.com/ontology/Heritage
1026689b,http://example.com/ontology/Building
102679684m,http://example.com/ontology/Museum
1026845w,http://example.com/ontology/Heritage
1026860b,http://example.com/ontology/Building
1026971w,http://example.com/ontology/Heritage
1026982w,http://example.com/ontology/Heritage
1026991w,http://example.com/ontology/Heritage
1027362b,http://example.com/ontology/Building
10275637b,http://example.com/ontology/Building
10275653b,http://example.com/ontology/Building
10275655m,http://example.com/ontology/Museum
10275730m,http://example.com/ontology/Museum
10275753b,http://example.com/ontology/Building
10275807b,http://example.com/ontology/Building
10275821b,http://example.com/ontology/Building
10275827b,http://example.com/ontology/Building
10275870b,http://example.com/ontology/Building
10275871b,http://example.com/ontology/Building
10275929b,http://example.com/ontology/Building
10276154b,http://example.com/ontology/Building
10276187b,http://example.com/ontology/Building
10276204b,http://example.com/ontology/Building
102762485m,http://example.com/ontology/Museum
1027637m,http://example.com/ontology/Museum
102765453m,http://example.com/ontology/Museum
102767953m,http://example.com/ontology/Museum
10277413b,http://example.com/ontology/Building
10280162b,http://example.com/ontology/Building
10280171m,http://example.com/ontology/Museum
10280205b,http://example.com/ontology/Building
10280390m,http://example.com/ontology/Museum
1028041b,http://example.com/ontology/Building
10280431m,http://example.com/ontology/Museum
1028202b,http://example.com/ontology/Building
1028275b,http://example.com/ontology/Building
10283605m,http://example.com/ontology/Museum
10283640m,http://example.com/ontology/Museum
10283837w,http://example.com/ontology/Heritage
10283905w,http://example.com/ontology/Heritage
1028430b,http://example.com/ontology/Building
1028555m,http://example.com/ontology/Museum
1028566w,http://example.com/ontology/Heritage
10285b,http://example.com/ontology/Building
10286368m,http://example.com/ontology/Museum
1028696b,http://example.com/ontology/Building
1028759b,http://example.com/ontology/Building
10288b,http://example.com/ontology/Building
10288w,http://example.com/ontology/Heritage
1028985b,http://example.com/ontology/Building
1029092b,http://example.com/ontology/Building
10290950m,http://example.com/ontology/Museum
1029098b,http://example.com/ontology/Building
1029127b,http://example.com/ontology/Building
1029132b,http://example.com/ontology/Building
1029180b,http://example.com/ontology/Building
102928529m,http://example.com/ontology/Museum
10293286w,http://example.com/ontology/Heritage
10297111b,http://example.com/ontology/Building
1029764m,http://example.com/ontology/Museum
10298609m,http://example.com/ontology/Museum
1029921b,http://example.com/ontology/Building
1029941b,http://example.com/ontology/Building
10300241w,http://example.com/ontology/Heritage
10300396b,http://example.com/ontology/Building
10300690b,http://example.com/ontology/Building
10300880b,http://example.com/ontology/Building
10300967b,http://example.com/ontology/Building
1030135b,http://example.com/ontology/Building
1030136b,http://example.com/ontology/Building
1030210m,http://example.com/ontology/Museum
10302449m,http://example.com/ontology/Museum
10302528m,http://example.com/ontology/Museum
10302531m,http://example.com/ontology/Museum
10302546m,http://example.com/ontology/Museum
10303489b,http://example.com/ontology/Building
103038475m,http://example.com/ontology/Museum
1030463b,http://example.com/ontology/Building
103054216m,http://example.com/ontology/Museum
10306409m,http://example.com/ontology/Museum
1030648m,http://example.com/ontology/Museum
1031113m,http://example.com/ontology/Museum
1031457m,http://example.com/ontology/Museum
1031481m,http://example.com/ontology/Museum
103160541m,http://example.com/ontology/Museum
1031614b,http://example.com/ontology/Building
1031728b,http://example.com/ontology/Building
103185520m,http://example.com/ontology/Museum
1031867b,http://example.com/ontology/Building
1031914b,http://example.com/ontology/Building
1031997b,http://example.com/ontology/Building
1032050m,http://example.com/ontology/Museum
1032083m,http://example.com/ontology/Museum
1032137b,http://example.com/ontology/Building
1032141b,http://example.com/ontology/Building
1032147b,http://example.com/ontology/Building
1032188b,http://example.com/ontology/Building
1032205b,http://example.com/ontology/Building
1032216m,http://example.com/ontology/Museum
1032248b,http://example.com/ontology/Building
10322927m,http://example.com/ontology/Museum
10323861b,http://example.com/ontology/Building
103252424m,http://example.com/ontology/Museum
1032536b,http://example.com/ontology/Building
1032560b,http://example.com/ontology/Building
1032571b,http://example.com/ontology/Building
1032573b,http://example.com/ontology/Building
1032581b,http://example.com/ontology/Building
1032584b,http://example.com/ontology/Building
1032612b,http://example.com/ontology/Building
1032619b,http://example.com/ontology/Building
1032646b,http://example.com/ontology/Building
1032662b,http://example.com/ontology/Building
1032663b,http://example.com/ontology/Building
1032676b,http://example.com/ontology/Building
1032687b,http://example.com/ontology/Building
1032694b,http://example.com/ontology/Building
1032697b,http://example.com/ontology/Building
1032707b,http://example.com/ontology/Building
1032811b,http://example.com/ontology/Building
1032842b,http://example.com/ontology/Building
10328528m,http://example.com/ontology/Museum
10328537m,http://example.com/ontology/Museum
10328555m,http://example.com/ontology/Museum
10328557m,http://example.com/ontology/Museum
10328569m,http://example.com/ontology/Museum
1033019w,http://example.com/ontology/Heritage
1033076b,http://example.com/ontology/Building
103308727m,http://example.com/ontology/Museum
1033099b,http://example.com/ontology/Building
103310055m,http://example.com/ontology/Museum
1033194b,http://example.com/ontology/Building
10332618h,http://example.com/ontology/Hotel
10332621m,http://example.com/ontology/Museum
103331335h,http://example.com/ontology/Hotel
10333375m,http://example.com/ontology/Museum
10333377m,http://example.com/ontology/Museum
10333378m,http://example.com/ontology/Museum
10333380m,http://example.com/ontology/Museum
10333383m,http://example.com/ontology/Museum
10333395m,http://example.com/ontology/Museum
10333398m,http://example.com/ontology/Museum
10333407m,http://example.com/ontology/Museum
10333410m,http://example.com/ontology/Museum
10333412m,http://example.com/ontology/Museum
10333417m,http://example.com/ontology/Museum
10333422m,http://example.com/ontology/Museum
10333425m,http://example.com/ontology/Museum
10333430m,http://example.com/ontology/Museum
10333433m,http://example.com/ontology/Museum
10333434m,http://example.com/ontology/Museum
10333435m,http://example.com/ontology/Museum
10333439m,http://example.com/ontology/Museum
10333443m,http://example.com/ontology/Museum
10333445m,http://example.com/ontology/Museum
10333446m,http://example.com/ontology/Museum
10333447m,http://example.com/ontology/Museum
10333459m,http://example.com/ontology/Museum
10333470m,http://example.com/ontology/Museum
10333473m,http://example.com/ontology/Museum
10333475m,http://example.com/ontology/Museum
10333490m,http://example.com/ontology/Museum
10333492m,http://example.com/ontology/Museum
10333494m,http://example.com/ontology/Museum
10333495m,http://example.com/ontology/Museum
10333496m,http://example.com/ontology/Museum
10333504m,http://example.com/ontology/Museum
10333505m,http://example.com/ontology/Museum
10333519m,http://example.com/ontology/Museum
10333521m,http://example.com/ontology/Museum
10333524m,http://example.com/ontology/Museum
10333525m,http://example.com/ontology/Museum
10333527m,http://example.com/ontology/Museum
10333530m,http://example.com/ontology/Museum
10333544m,http://example.com/ontology/Museum
10333548m,http://example.com/ontology/Museum
10333549m,http://example.com/ontology/Museum
10333565m,http://example.com/ontology/Museum
10333579m,http://example.com/ontology/Museum
10333582m,http://example.com/ontology/Museum
10333586m,http://example.com/ontology/Museum
10333587m,http://example.com/ontology/Museum
10333588m,http://example.com/ontology/Museum
10333594m,http://example.com/ontology/Museum
10333606m,http://example.com/ontology/Museum
10333616m,http://example.com/ontology/Museum
10333623m,http://example.com/ontology/Museum
10333626m,http://example.com/ontology/Museum
10333630m,http://example.com/ontology/Museum
10333634m,http://example.com/ontology/Museum
10333635m,http://example.com/ontology/Museum
10333643m,http://example.com/ontology/Museum
10333645m,http://example.com/ontology/Museum
1033364b,http://example.com/ontology/Building
10333651m,http://example.com/ontology/Museum
10333652m,http://example.com/ontology/Museum
10333659m,http://example.com/ontology/Museum
10333666m,http://example.com/ontology/Museum
10333675m,http://example.com/ontology/Museum
10333677m,http://example.com/ontology/Museum
10333684m,http://example.com/ontology/Museum
10333689m,http://example.com/ontology/Museum
10333691m,http://example.com/ontology/Museum
10333696m,http://example.com/ontology/Museum
10333699m,http://example.com/ontology/Museum
10333701m,http://example.com/ontology/Museum
10333707m,http://example.com/ontology/Museum
