year,m,g,o
2000,1,0.000000,0.000000
2000,1,0.000000,0.000000
2000,1,0.000000,0.000000
2000,1,0.000000,0.000160
2000,1,0.000000,0.110280
2000,1,0.000000,0.134340
2000,1,0.000000,0.148010
2000,1,0.000000,0.162630
2000,1,0.000000,0.164220
2000,1,0.000000,0.236400
2000,1,0.000000,0.318900
2000,1,0.000000,0.368840
2000,1,0.000000,0.451000
2000,1,0.000000,0.617280
2000,1,0.000000,0.828020
2000,1,0.000000,0.870110
2000,1,0.000000,1.468590
2000,1,0.000070,0.010910
2000,1,0.000820,0.006440
2000,1,0.003940,0.024590
2000,1,0.005510,0.233180
2000,1,0.011710,0.333790
2000,1,0.013540,0.454600
2000,1,0.016070,0.270920
2000,1,0.023900,0.700910
2000,1,0.027300,0.086440
2000,1,0.027480,0.029200
2000,1,0.032000,0.287640
2000,1,0.036680,0.388540
2000,1,0.037570,0.111340
2000,1,0.050850,1.018060
2000,1,0.051150,0.000000
2000,1,0.051560,0.097520
2000,1,0.067860,1.319050
2000,1,0.073330,0.392970
2000,1,0.139020,0.974310
2000,1,0.255380,1.372480
2000,1,1.343830,0.000000
2000,1,2.755740,1.429270
2000,1,5.025000,15.421000
2000,2,0.000000,0.000000
2000,2,0.000000,0.000000
2000,2,0.000000,0.000000
2000,2,0.000000,0.000150
2000,2,0.000000,0.047940
2000,2,0.000000,0.078310
2000,2,0.000000,0.098270
2000,2,0.000000,0.106270
2000,2,0.000000,0.120940
2000,2,0.000000,0.152530
2000,2,0.000000,0.243050
2000,2,0.000000,0.286250
2000,2,0.000000,0.339870
2000,2,0.000000,0.426840
2000,2,0.000000,0.703430
2000,2,0.000000,0.814530
2000,2,0.000000,0.935000
2000,2,0.000000,1.385680
2000,2,0.000090,0.015040
2000,2,0.000960,0.008510
2000,2,0.003240,0.018610
2000,2,0.010530,0.238100
2000,2,0.010780,0.340680
2000,2,0.021300,0.056870
2000,2,0.022130,0.707290
2000,2,0.023530,0.209190
2000,2,0.023540,0.452750
2000,2,0.027320,0.027400
2000,2,0.028930,0.351160
2000,2,0.029570,0.288460
2000,2,0.034060,0.105260
2000,2,0.045910,0.000000
2000,2,0.047580,0.916330
2000,2,0.062520,0.107350
2000,2,0.070380,0.368360
2000,2,0.082720,1.270010
2000,2,0.156470,1.004540
2000,2,0.242180,1.297080
2000,2,1.133750,0.000000
2000,2,2.559490,1.393990
2000,2,4.637000,14.916000
2000,3,0.000000,0.000000
2000,3,0.000000,0.000000
2000,3,0.000000,0.000000
2000,3,0.000000,0.000170
2000,3,0.000000,0.066690
2000,3,0.000000,0.096290
2000,3,0.000000,0.115820
2000,3,0.000000,0.118790
2000,3,0.000000,0.210980
2000,3,0.000000,0.211640
2000,3,0.000000,0.254920
2000,3,0.000000,0.331620
2000,3,0.000000,0.374020
2000,3,0.000000,0.444020
2000,3,0.000000,0.620240
2000,3,0.000000,0.853190
2000,3,0.000000,0.986490
2000,3,0.000000,1.545330
2000,3,0.000010,0.015970
2000,3,0.001140,0.008860
2000,3,0.004040,0.025230
2000,3,0.011640,0.356610
2000,3,0.015420,0.215210
2000,3,0.018550,0.660540
2000,3,0.019830,0.047350
2000,3,0.020100,0.542120
2000,3,0.024050,0.088040
2000,3,0.031070,0.383770
2000,3,0.031630,0.026350
2000,3,0.031980,0.297420
2000,3,0.039300,0.237790
2000,3,0.056750,1.030230
2000,3,0.057010,0.000000
2000,3,0.068270,0.113900
2000,3,0.080830,1.197220
2000,3,0.083070,0.414030
2000,3,0.138330,0.922910
2000,3,0.254610,1.361900
2000,3,1.290400,0.000000
2000,3,2.776230,1.433630
2000,3,5.054000,15.609000
2000,4,0.000000,0.000000
2000,4,0.000000,0.000000
2000,4,0.000000,0.000000
2000,4,0.000000,0.000000
2000,4,0.000000,0.000070
2000,4,0.000000,0.014120
2000,4,0.000000,0.053000
2000,4,0.000000,0.103170
2000,4,0.000000,0.137450
2000,4,0.000000,0.147560
2000,4,0.000000,0.195850
2000,4,0.000000,0.270780
2000,4,0.000000,0.335830
2000,4,0.000000,0.359990
2000,4,0.000000,0.532930
2000,4,0.000000,0.725750
2000,4,0.000000,1.054310
2000,4,0.000000,1.380640
2000,4,0.000830,0.006430
2000,4,0.003550,0.022520
2000,4,0.009510,0.120630
2000,4,0.011220,0.356420
2000,4,0.014670,0.212560
2000,4,0.017420,0.039060
2000,4,0.020740,0.496110
2000,4,0.025230,0.564620
2000,4,0.027950,0.102880
2000,4,0.028020,0.025070
2000,4,0.031890,0.282840
2000,4,0.040230,0.242430
2000,4,0.044600,0.261710
2000,4,0.047590,0.000000
2000,4,0.048660,0.088540
2000,4,0.057340,0.873700
2000,4,0.076090,0.383970
2000,4,0.101960,0.879240
2000,4,0.106160,0.930940
2000,4,0.249660,1.367430
2000,4,1.136750,0.000000
2000,4,1.979900,1.488990
2000,4,4.080000,14.057000
2000,5,0.000000,0.000000
2000,5,0.000000,0.000000
2000,5,0.000000,0.000000
2000,5,0.000000,0.000200
2000,5,0.000000,0.011600
2000,5,0.000000,0.054130
2000,5,0.000000,0.099050
2000,5,0.000000,0.113330
2000,5,0.000000,0.123950
2000,5,0.000000,0.139840
2000,5,0.000000,0.215780
2000,5,0.000000,0.256210
2000,5,0.000000,0.359730
2000,5,0.000000,0.448570
2000,5,0.000000,0.735630
2000,5,0.000000,0.897780
2000,5,0.000000,1.064360
2000,5,0.000000,1.245920
2000,5,0.001230,0.010750
2000,5,0.003520,0.022960
2000,5,0.004350,0.259970
2000,5,0.009610,0.389540
2000,5,0.013810,0.242380
2000,5,0.021590,0.395430
2000,5,0.021720,0.736810
2000,5,0.022910,0.059040
2000,5,0.022920,0.436990
2000,5,0.023380,0.586420
2000,5,0.023830,0.096260
2000,5,0.027860,0.268030
2000,5,0.029610,0.205790
2000,5,0.030030,0.026280
2000,5,0.042830,0.083720
2000,5,0.054420,1.251620
2000,5,0.062930,0.000000
2000,5,0.066210,0.332850
2000,5,0.076580,0.876160
2000,5,0.271390,1.453330
2000,5,0.950520,0.000000
2000,5,1.628370,1.519760
2000,5,3.410000,15.020000
2000,6,0.000000,0.000000
2000,6,0.000000,0.000000
2000,6,0.000000,0.000000
2000,6,0.000000,0.000090
2000,6,0.000000,0.048460
2000,6,0.000000,0.096490
2000,6,0.000000,0.108350
2000,6,0.000000,0.124650
2000,6,0.000000,0.191160
2000,6,0.000000,0.205440
2000,6,0.000000,0.342050
2000,6,0.000000,0.359880
2000,6,0.000000,0.360710
2000,6,0.000000,0.419860
2000,6,0.000000,0.586730
2000,6,0.000000,0.844250
2000,6,0.000000,1.300010
2000,6,0.000010,0.015200
2000,6,0.000800,0.007140
2000,6,0.003590,0.022310
2000,6,0.004740,0.060010
2000,6,0.005840,0.187800
2000,6,0.007200,0.386480
2000,6,0.008310,0.032930
2000,6,0.013800,0.227120
2000,6,0.023020,0.054850
2000,6,0.024700,0.100400
2000,6,0.025910,0.613010
2000,6,0.028070,0.000000
2000,6,0.029310,0.217920
2000,6,0.030930,0.791870
2000,6,0.034350,0.024240
2000,6,0.034700,1.248240
2000,6,0.037620,0.870040
2000,6,0.041400,0.082740
2000,6,0.078940,0.401900
2000,6,0.201750,0.615570
2000,6,0.265490,1.416210
2000,6,0.841130,0.000000
2000,6,1.250100,1.489750
2000,6,2.992000,13.854000
2001,1,0.000000,0.000000
2001,1,0.000000,0.000000
2001,1,0.000000,0.000000
2001,1,0.000000,0.000000
2001,1,0.000000,0.000190
2001,1,0.000000,0.012580
2001,1,0.000000,0.105710
2001,1,0.000000,0.128210
2001,1,0.000000,0.189890
2001,1,0.000000,0.217060
2001,1,0.000000,0.300620
2001,1,0.000000,0.318330
2001,1,0.000000,0.329550
2001,1,0.000000,0.347540
2001,1,0.000000,0.365950
2001,1,0.000000,0.396010
2001,1,0.000000,0.887260
2001,1,0.002330,0.025690
2001,1,0.003370,0.022370
2001,1,0.010130,0.300350
2001,1,0.010440,0.056450
2001,1,0.014880,0.230770
2001,1,0.018350,0.091270
2001,1,0.023070,0.200530
2001,1,0.027260,0.013490
2001,1,0.029370,1.095350
2001,1,0.030530,0.863070
2001,1,0.030570,0.193420
2001,1,0.032420,0.424820
2001,1,0.034330,0.648760
2001,1,0.058870,0.152020
2001,1,0.060320,0.854470
2001,1,0.070640,0.000000
2001,1,0.082470,0.413800
2001,1,0.088670,0.984120
2001,1,0.121640,0.918330
2001,1,0.266250,1.477410
2001,1,0.269910,1.052030
2001,1,0.497270,0.711100
2001,1,1.186920,0.000000
2001,1,2.207260,1.640860
2001,1,5.177000,15.969000
2001,2,0.000000,0.000000
2001,2,0.000000,0.000000
2001,2,0.000000,0.000000
2001,2,0.000000,0.000170
2001,2,0.000000,0.010450
2001,2,0.000000,0.109440
2001,2,0.000000,0.113530
2001,2,0.000000,0.127780
2001,2,0.000000,0.200580
2001,2,0.000000,0.200750
2001,2,0.000000,0.226960
2001,2,0.000000,0.257400
2001,2,0.000000,0.267360
2001,2,0.000000,0.291720
2001,2,0.000000,0.293310
2001,2,0.000000,0.294990
2001,2,0.002500,0.016470
2001,2,0.002530,0.030530
2001,2,0.004460,0.042750
2001,2,0.008810,0.252980
2001,2,0.010530,0.640140
2001,2,0.012120,0.185470
2001,2,0.013120,0.195700
2001,2,0.015900,0.009560
2001,2,0.021610,0.093470
2001,2,0.022500,0.556370
2001,2,0.024450,0.364200
2001,2,0.027300,0.176020
2001,2,0.030960,0.697790
2001,2,0.038070,0.148830
2001,2,0.064840,0.000000
2001,2,0.066030,0.907980
2001,2,0.071520,0.359110
2001,2,0.073350,0.852720
2001,2,0.095660,0.743380
2001,2,0.100790,0.769670
2001,2,0.254100,1.351310
2001,2,0.273690,0.856880
2001,2,0.379430,0.625470
2001,2,0.880210,0.000000
2001,2,1.283730,1.451640
2001,2,3.778000,13.723000
2001,3,-0.001180,0.012230
2001,3,0.000000,0.000000
2001,3,0.000000,0.000000
2001,3,0.000000,0.000000
2001,3,0.000000,0.000000
2001,3,0.000000,0.000180
2001,3,0.000000,0.012670
2001,3,0.000000,0.128330
2001,3,0.000000,0.131200
2001,3,0.000000,0.198060
2001,3,0.000000,0.226060
2001,3,0.000000,0.246380
2001,3,0.000000,0.249640
2001,3,0.000000,0.262230
2001,3,0.000000,0.309430
2001,3,0.000000,0.326100
2001,3,0.000000,0.362070
2001,3,0.001350,0.173750
2001,3,0.002940,0.020440
2001,3,0.003550,0.034370
2001,3,0.007110,0.053840
2001,3,0.009950,0.283760
2001,3,0.015380,0.202720
2001,3,0.022570,0.597710
2001,3,0.026050,0.685670
2001,3,0.026550,0.117430
2001,3,0.028770,1.080540
2001,3,0.030060,0.422420
2001,3,0.030640,0.193140
2001,3,0.058660,0.155510
2001,3,0.068840,0.000000
2001,3,0.074600,0.945170
2001,3,0.075690,0.374670
2001,3,0.123200,0.998440
2001,3,0.126500,0.850070
2001,3,0.127420,0.807380
2001,3,0.273850,1.480700
2001,3,0.313650,1.005890
2001,3,0.542180,0.696170
2001,3,0.798590,0.000000
2001,3,1.463550,1.633520
2001,3,4.250000,15.278000
2001,4,-0.000340,-0.000040
2001,4,0.000000,0.000000
2001,4,0.000000,0.000000
2001,4,0.000000,0.000000
2001,4,0.000000,0.000000
2001,4,0.000000,0.000000
2001,4,0.000000,0.012960
2001,4,0.000000,0.117510
2001,4,0.000000,0.129130
2001,4,0.000000,0.176010
2001,4,0.000000,0.212750
2001,4,0.000000,0.232730
2001,4,0.000000,0.295890
2001,4,0.000000,0.321160
2001,4,0.000000,0.325940
2001,4,0.000000,0.335010
2001,4,0.000000,0.347410
2001,4,0.002090,0.194660
2001,4,0.003420,0.023150
2001,4,0.004000,0.032830
2001,4,0.008050,0.062440
2001,4,0.009600,0.259880
2001,4,0.016600,0.205000
2001,4,0.020570,0.550940
2001,4,0.024870,1.048720
2001,4,0.024880,0.114010
2001,4,0.029950,0.202340
2001,4,0.030680,0.426260
2001,4,0.040970,0.799180
2001,4,0.062110,0.157600
2001,4,0.068280,0.361440
2001,4,0.069080,0.000000
2001,4,0.079290,0.959670
2001,4,0.105140,0.881280
2001,4,0.110080,1.023750
2001,4,0.114640,0.766280
2001,4,0.268170,1.459620
2001,4,0.308070,0.975270
2001,4,0.535380,0.000000
2001,4,0.553490,0.702400
2001,4,1.359890,1.640160
2001,4,3.849000,15.353000
2001,5,0.000000,-0.000120
2001,5,0.000000,0.000000
2001,5,0.000000,0.000000
2001,5,0.000000,0.000000
2001,5,0.000000,0.000890
2001,5,0.000000,0.013400
2001,5,0.000000,0.076880
2001,5,0.000000,0.078730
2001,5,0.000000,0.086510
2001,5,0.000000,0.191600
2001,5,0.000000,0.220180
2001,5,0.000000,0.233830
2001,5,0.000000,0.296140
2001,5,0.000000,0.335750
2001,5,0.000000,0.336830
2001,5,0.000000,0.347600
2001,5,0.000000,0.366550
2001,5,0.003190,0.557200
2001,5,0.003210,0.023370
2001,5,0.003320,0.195160
2001,5,0.004340,0.038170
2001,5,0.008490,0.134430
2001,5,0.009100,0.252350
2001,5,0.012230,0.055000
2001,5,0.018460,0.520960
2001,5,0.019890,0.213860
2001,5,0.024440,0.110650
2001,5,0.027400,0.202040
2001,5,0.034590,0.771640
2001,5,0.063410,0.161760
2001,5,0.066900,0.694520
2001,5,0.068970,0.000000
2001,5,0.077190,0.388950
2001,5,0.077780,1.013230
2001,5,0.088260,0.810150
2001,5,0.129150,0.906200
2001,5,0.155360,0.865280
2001,5,0.263320,1.479340
2001,5,0.329600,0.728400
2001,5,1.114680,0.000000
2001,5,1.285600,1.719680
2001,5,3.889000,14.427000
2001,6,0.000000,0.000000
2001,6,0.000000,0.000000
2001,6,0.000000,0.000000
2001,6,0.000000,0.000000
2001,6,0.000000,0.013340
2001,6,0.000000,0.095350
2001,6,0.000000,0.107560
2001,6,0.000000,0.195900
2001,6,0.000000,0.210350
2001,6,0.000000,0.211350
2001,6,0.000000,0.220720
2001,6,0.000000,0.292410
2001,6,0.000000,0.297280
2001,6,0.000000,0.310460
2001,6,0.000000,0.357730
2001,6,0.001360,0.102110
2001,6,0.003030,0.021170
2001,6,0.003750,0.028600
2001,6,0.006040,0.033420
2001,6,0.009630,0.235630
2001,6,0.010260,0.110380
2001,6,0.015330,0.424970
2001,6,0.021810,0.106820
2001,6,0.023710,1.057940
2001,6,0.029610,0.424310
2001,6,0.029740,0.190950
2001,6,0.032720,0.559880
2001,6,0.034870,0.856490
2001,6,0.062130,0.903380
2001,6,0.064690,0.000000
2001,6,0.074720,0.372400
2001,6,0.075480,0.170480
2001,6,0.105770,0.963320
2001,6,0.121720,0.635170
2001,6,0.133420,0.792480
2001,6,0.254740,1.401980
2001,6,0.602260,0.751030
2001,6,0.776550,0.000000
2001,6,1.274540,1.492850
2001,6,3.768000,13.948000
2002,1,0.000000,0.000000
2002,1,0.000000,0.000000
2002,1,0.000000,0.010730
2002,1,0.000000,0.079820
2002,1,0.000000,0.117940
2002,1,0.000000,0.148700
2002,1,0.000000,0.164120
2002,1,0.000000,0.185400
2002,1,0.000000,0.185400
2002,1,0.000000,0.201950
2002,1,0.000000,0.206190
2002,1,0.000000,0.213720
2002,1,0.000000,0.346150
2002,1,0.000000,0.417710
2002,1,0.001560,0.164870
2002,1,0.002580,0.022380
2002,1,0.003600,0.031670
2002,1,0.006810,0.037520
2002,1,0.008030,0.277260
2002,1,0.009380,0.897220
2002,1,0.011400,0.194230
2002,1,0.011480,0.068530
2002,1,0.013000,0.201200
2002,1,0.015810,0.142610
2002,1,0.020300,0.924800
2002,1,0.032150,0.446630
2002,1,0.035570,0.007020
2002,1,0.050840,1.104580
2002,1,0.068380,0.000000
2002,1,0.069320,0.334820
2002,1,0.070880,0.854290
2002,1,0.096110,0.881160
2002,1,0.101090,0.198990
2002,1,0.110950,0.776060
2002,1,0.157140,0.072690
2002,1,0.234790,1.423120
2002,1,0.267380,0.668990
2002,1,0.270370,0.371710
2002,1,0.349580,1.008760
2002,1,1.392760,0.000000
2002,1,2.914720,1.786730
2002,1,6.326000,15.176000
2002,2,0.000000,0.000000
2002,2,0.000000,0.000000
2002,2,0.000000,0.009030
2002,2,0.000000,0.061960
2002,2,0.000000,0.147210
2002,2,0.000000,0.152650
2002,2,0.000000,0.165160
2002,2,0.000000,0.169210
2002,2,0.000000,0.200470
2002,2,0.000000,0.209860
2002,2,0.000000,0.219010
2002,2,0.000000,0.252990
2002,2,0.000000,0.324140
2002,2,0.000060,0.098280
2002,2,0.002640,0.021270
2002,2,0.003210,0.029300
2002,2,0.003430,0.139540
