var0,var1
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/9utNwHAIxe
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/BGZ9VfpOsM
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/CwD3pmZhpe
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/ENam9xjg1l
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/QKSJt9H0oQ
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/gaBZeIGX4I
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/m5HLRpmZkp
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/vyMtTiEWmW
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/0QRBvmYVIS
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/9utNwHAIxe
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/BGZ9VfpOsM
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/CwD3pmZhpe
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/ENam9xjg1l
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/QKSJt9H0oQ
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/m5HLRpmZkp
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/thwxHhTuXe
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/FdHrO3zJQy,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/vyMtTiEWmW
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/TftPPHTBZg,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/0QRBvmYVIS
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/TftPPHTBZg,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/9utNwHAIxe
