var0,var1
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/0Gu8rTsX9w
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/1d4r19EYhy
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/BQilAAN1hV
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/XHsvh6gXsP
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/Yvzat6BfJ2
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/o40NaWSyTd
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/trogW1mQ2X
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/xwP0basa4p
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/ywRhsW989K
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2887wkSmAx,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/yy32otYB51
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/4lqN8EsnZ2
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/9t75CTkIjk
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/B8rBra3Qqs
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/GULEbqunQi
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/KdPEADl0tA
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/RuC8BtQNPX
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/fJvAzVPkjl
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/j63sedwDNY
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/2HwATMfcvR,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/zsy2JEgILy
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/3RRF8XFqrV
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/3rDVHauuPR
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/ZyepYbmpgz
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/c49UngQJdi
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/h8Dx1yPZYQ
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/pYOixzGxBf
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/slBUH8N58B
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/zHxUhEUDjJ
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/63nJJWrKys,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/zhpvMrYiet
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/0QRBvmYVIS
http://www.owl-ontologies.com/Ontology1207768242.owl#ns/6Ff0Cjr8Us,http://www.owl-ontologies.com/Ontology1207768242.owl#ns/9utNwHAIxe
